,Age,Sex,N
0,0,m,590976.0
1,0,f,570104.0
2,1,m,603280.0
3,1,f,581935.0
4,2,m,605173.0
5,2,f,584208.0
6,3,m,588375.0
7,3,f,568102.0
8,4,m,570158.0
9,4,f,550345.0
10,5,m,571269.0
11,5,f,551231.0
12,6,m,585351.0
13,6,f,564688.0
14,7,m,587246.0
15,7,f,566367.0
16,8,m,583044.0
17,8,f,562226.0
18,9,m,577610.0
19,9,f,556976.0
20,10,m,568253.0
21,10,f,547952.0
22,11,m,562911.0
23,11,f,543479.0
24,12,m,574314.0
25,12,f,554993.0
26,13,m,563431.0
27,13,f,544311.0
28,14,m,534646.0
29,14,f,516564.0
30,15,m,518655.0
31,15,f,500894.0
32,16,m,497991.0
33,16,f,480618.0
34,17,m,475022.0
35,17,f,458710.0
36,18,m,455216.0
37,18,f,439912.0
38,19,m,449620.0
39,19,f,434688.0
40,20,m,452216.0
41,20,f,437426.0
42,21,m,460180.0
43,21,f,446252.0
44,22,m,468830.0
45,22,f,456543.0
46,23,m,475075.0
47,23,f,464115.0
48,24,m,495005.0
49,24,f,485344.0
50,25,m,519457.0
51,25,f,510671.0
52,26,m,532285.0
53,26,f,523355.0
54,27,m,540109.0
55,27,f,531137.0
56,28,m,548715.0
57,28,f,539838.0
58,29,m,560256.0
59,29,f,550639.0
60,30,m,567059.0
61,30,f,556736.0
62,31,m,574216.0
63,31,f,563987.0
64,32,m,583654.0
65,32,f,573588.0
66,33,m,583389.0
67,33,f,573468.0
68,34,m,570661.0
69,34,f,561005.0
70,35,m,541627.0
71,35,f,535376.0
72,36,m,512662.00000000006
73,36,f,508594.0
74,37,m,491741.0
75,37,f,485954.0
76,38,m,473761.0
77,38,f,466248.0
78,39,m,453695.0
79,39,f,444642.0
80,40,m,430487.0
81,40,f,419336.0
82,41,m,400937.0
83,41,f,388928.0
84,42,m,360908.0
85,42,f,350777.0
86,43,m,320796.0
87,43,f,313541.0
88,44,m,288150.0
89,44,f,284955.0
90,45,m,267805.0
91,45,f,269135.0
92,46,m,260775.0
93,46,f,267126.0
94,47,m,264360.0
95,47,f,277289.0
96,48,m,274096.0
97,48,f,295269.0
98,49,m,284533.0
99,49,f,315221.0
100,50,m,290925.0
101,50,f,331846.0
102,51,m,292178.0
103,51,f,342504.0
104,52,m,288541.0
105,52,f,346125.0
106,53,m,279245.0
107,53,f,341978.0
108,54,m,265011.0
109,54,f,330769.0
110,55,m,247292.0
111,55,f,314339.0
112,56,m,228082.0
113,56,f,295721.0
114,57,m,208273.0
115,57,f,276704.0
116,58,m,188490.0
117,58,f,258418.0
118,59,m,169138.0
119,59,f,241232.0
120,60,m,150077.0
121,60,f,224431.0
122,61,m,132838.0
123,61,f,208886.0
124,62,m,120061.0
125,62,f,197008.0
126,63,m,110734.0
127,63,f,187436.0
128,64,m,103514.0
129,64,f,178689.0
130,65,m,98963.0
131,65,f,172129.0
132,66,m,96475.0
133,66,f,167998.0
134,67,m,94692.0
135,67,f,165242.0
136,68,m,91629.0
137,68,f,161295.0
138,69,m,86743.0
139,69,f,155001.0
140,70,m,80862.0
141,70,f,147172.0
142,71,m,74632.0
143,71,f,138533.0
144,72,m,70246.0
145,72,f,132130.0
146,73,m,64760.00000000001
147,73,f,124021.0
148,74,m,57422.0
149,74,f,112593.0
150,75,m,51304.0
151,75,f,101936.0
152,76,m,45609.0
153,76,f,91940.0
154,77,m,40361.0
155,77,f,82927.0
156,78,m,35932.0
157,78,f,75016.0
158,79,m,31968.0
159,79,f,67803.0
160,80,m,28288.0
161,80,f,60990.0
162,81,m,24803.0
163,81,f,54461.0
164,82,m,21462.0
165,82,f,48208.0
166,83,m,18243.0
167,83,f,42192.0
168,84,m,15180.0
169,84,f,36620.0
170,85,m,12489.0
171,85,f,31790.0
172,86,m,10261.0
173,86,f,27823.0
174,87,m,8523.0
175,87,f,24709.0
176,88,m,7189.0
177,88,f,22186.0
178,89,m,6113.0
179,89,f,19803.0
180,90,m,5218.0
181,90,f,17355.0
182,91,m,4425.0
183,91,f,14887.0
184,92,m,3697.0
185,92,f,12453.0
186,93,m,3031.0
187,93,f,10118.0
188,94,m,2440.0
189,94,f,7979.0
190,95,m,1936.0
191,95,f,6014.0
192,96,m,1509.0
193,96,f,4337.0
194,97,m,1149.0
195,97,f,3034.0
196,98,m,851.0
197,98,f,2076.0
198,99,m,611.0
199,99,f,1399.0
200,100,m,1210.0
201,100,f,2587.0
