,Age,Sex,N,Und,Alc,Smk,HIV,Dia
0,0,m,557290.368,0.0,0.0,0.0,0.0,0.0
1,0,m,33685.632,1.0,0.0,0.0,0.0,0.0
2,0,f,537608.072,0.0,0.0,0.0,0.0,0.0
3,0,f,32495.927999999996,1.0,0.0,0.0,0.0,0.0
4,1,m,568893.04,0.0,0.0,0.0,0.0,0.0
5,1,m,34386.96,1.0,0.0,0.0,0.0,0.0
6,1,f,548764.7050000001,0.0,0.0,0.0,0.0,0.0
7,1,f,33170.295,1.0,0.0,0.0,0.0,0.0
8,2,m,570678.1390000001,0.0,0.0,0.0,0.0,0.0
9,2,m,34494.861,1.0,0.0,0.0,0.0,0.0
10,2,f,550908.1440000001,0.0,0.0,0.0,0.0,0.0
11,2,f,33299.856,1.0,0.0,0.0,0.0,0.0
12,3,m,554837.625,0.0,0.0,0.0,0.0,0.0
13,3,m,33537.375,1.0,0.0,0.0,0.0,0.0
14,3,f,535720.186,0.0,0.0,0.0,0.0,0.0
15,3,f,32381.814,1.0,0.0,0.0,0.0,0.0
16,4,m,537658.9940000001,0.0,0.0,0.0,0.0,0.0
17,4,m,32499.005999999998,1.0,0.0,0.0,0.0,0.0
18,4,f,518975.335,0.0,0.0,0.0,0.0,0.0
19,4,f,31369.664999999997,1.0,0.0,0.0,0.0,0.0
20,5,m,538706.667,0.0,0.0,0.0,0.0,0.0
21,5,m,32562.333,1.0,0.0,0.0,0.0,0.0
22,5,f,519810.83300000004,0.0,0.0,0.0,0.0,0.0
23,5,f,31420.166999999998,1.0,0.0,0.0,0.0,0.0
24,6,m,551985.993,0.0,0.0,0.0,0.0,0.0
25,6,m,33365.007,1.0,0.0,0.0,0.0,0.0
26,6,f,532500.784,0.0,0.0,0.0,0.0,0.0
27,6,f,32187.215999999997,1.0,0.0,0.0,0.0,0.0
28,7,m,553772.978,0.0,0.0,0.0,0.0,0.0
29,7,m,33473.022,1.0,0.0,0.0,0.0,0.0
30,7,f,534084.081,0.0,0.0,0.0,0.0,0.0
31,7,f,32282.918999999998,1.0,0.0,0.0,0.0,0.0
32,8,m,549810.4920000001,0.0,0.0,0.0,0.0,0.0
33,8,m,33233.507999999994,1.0,0.0,0.0,0.0,0.0
34,8,f,530179.118,0.0,0.0,0.0,0.0,0.0
35,8,f,32046.881999999998,1.0,0.0,0.0,0.0,0.0
36,9,m,544686.23,0.0,0.0,0.0,0.0,0.0
37,9,m,32923.77,1.0,0.0,0.0,0.0,0.0
38,9,f,525228.368,0.0,0.0,0.0,0.0,0.0
