,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,30000,18000,41000,17029518.0,0.0,0.0,0.0,0.057,0.0,176.16470413314107
1,0-14,f,all,14000,6600,22000,8363481.0,0.0,0.0,0.0,0.056999999999999995,0.0,167.39441388101437
2,0-14,m,all,16000,7200,24000,8666037.0,0.0,0.0,0.0,0.05699999999999999,0.0,184.62879860771423
3,0-4,f,all,7800,0,17000,2854693.9999999995,0.0,0.0,0.0,0.05700000000000001,0.0,273.234189023412
4,0-4,m,all,9200,0,20000,2957962.0,0.0,0.0,0.0,0.057,0.0,311.0249556958473
5,15-24,f,all,12000,0,27000,4604496.3065230185,0.08933674372596957,0.07099885128801026,0.01799878575331114,0.05699883397695766,0.1899989984319572,260.6148251872859
6,15-24,m,all,20000,0,43000,4747809.999999998,0.06652451846219622,0.3400000000000004,0.12000000000000004,0.05700000000000001,0.19000000000000003,421.24684854701445
7,15plus,a,all,275000,168000,381000,42362680.99973625,0.10640609476189593,0.19944907169362538,0.06670484057732824,0.05699900342740671,0.1420207328693563,649.1562703543531
8,15plus,a,alc,24000,4000,60000,2825795.8825156186,0.0943019907467868,0.3020644129292498,1.0,0.056985301165539334,0.1477325527354296,849.3182451180583
9,15plus,a,smk,17000,2000,49000,8449197.399850577,0.09573817445365525,1.0,0.10102407766269812,0.056995737768060585,0.14706128899832238,201.20254262612735
10,15plus,f,alc,2700,420,7100,398375.48971373256,0.12146464321433348,0.07091667353893145,1.0,0.056914406686776504,0.13482786320989612,677.7525399316571
11,15plus,f,smk,2400,280,6700,1571488.6452905517,0.1215232739304494,1.0,0.017977517454297175,0.05697990745321365,0.13485625801904272,152.72143436685573
12,15plus,f,all,110000,51000,169000,22134119.886934325,0.12153977446431126,0.07099846993320907,0.017998253002546167,0.05699842867666695,0.1348655224215808,496.9702909440394
13,15plus,m,all,165000,76000,253000,20228561.112801883,0.08984680124636606,0.3399998999537041,0.11999965688442676,0.056999632320470894,0.1498499741576595,815.6783820653353
14,15plus,m,alc,22000,4000,57000,2427420.392801884,0.08984419884112006,0.33999916627848414,1.0,0.05699693599516297,0.1498504026243829,906.3119048203343
15,15plus,m,smk,16000,2200,44000,6877708.75456003,0.0898465334302397,1.0,0.11999939794089569,0.0569993548389371,0.14985001825159866,232.6356141409993
16,18plus,a,dia,9100,1400,24000,4507647.448825903,1.0,0.17945297271883143,0.05911690747569557,0.05699149450201584,0.13732555886430986,201.87914213145166
17,18plus,f,dia,4000,560,11000,2690175.9390240246,1.0,0.07098883100914131,0.017987127169447847,0.05698851296005726,0.13102319936783538,148.68915976741542
18,18plus,m,dia,4700,580,13000,1817471.5098018802,1.0,0.3399988864790461,0.11999618110418461,0.056995907705961454,0.14665415399499426,258.60102756231595
19,25-34,f,all,25000,0,56000,5484419.221717042,0.1299992420152422,0.07099919061167809,0.017999144435595152,0.056999178414222224,0.18999929429005297,455.83678032863963
20,25-34,m,all,42000,0,93000,5579801.0,0.09699999999999996,0.3400000000000001,0.12000000000000006,0.05700000000000001,0.19,752.7150161806845
21,35-44,f,all,24000,0,54000,4198343.445923001,0.12999843460948943,0.07099832845082257,0.017998233087952408,0.056998303260630455,0.18999854256745577,571.6540418651631
22,35-44,m,all,42000,0,94000,4274764.000000001,0.0969999999999999,0.3400000000000001,0.11999999999999994,0.05699999999999999,0.18999999999999997,982.5103795203663
23,45-54,f,all,18000,0,40000,3117259.4377302374,0.12999928489279258,0.07099923639701636,0.017999192833014002,0.05699922488954403,0.08679580353672628,577.4302832203886
24,45-54,m,all,28000,0,63000,2767469.000000002,0.09699999999999984,0.33999999999999975,0.12000000000000004,0.056999999999999926,0.09279168438743116,1011.7547838837573
25,5-14,f,all,6500,0,14000,5508787.0,0.0,0.0,0.0,0.05699999999999999,0.0,117.9933077826389
26,5-14,m,all,6300,0,14000,5708075.0,0.0,0.0,0.0,0.056999999999999995,0.0,110.36995834848001
27,55-64,f,all,14000,0,31000,2382863.999999998,0.13000000000000012,0.07100000000000005,0.01800000000000001,0.05700000000000005,0.0,587.5282852903066
28,55-64,m,all,18000,0,39000,1658499.0,0.09699999999999988,0.34,0.12000000000000001,0.05699999999999998,0.0,1085.318712884361
29,65plus,f,all,16000,0,37000,2346737.4750410435,0.12999451381982638,0.07099371879862285,0.017992137710118282,0.056993452495399125,0.0,681.797609241322
30,65plus,m,all,15000,0,33000,1200218.1128018836,0.09699406596199096,0.3399983138126414,0.11999421710581638,0.056993803103164646,0.0,1249.7728404533755
31,all,a,all,304000,197000,412000,59392198.999736376,0.0758962881446082,0.1422610636101903,0.047578569746645705,0.05699928917454521,0.10129914539651919,511.85173325767806
32,all,a,hiv,145000,69000,251000,6016379.001893297,0.10288833281256043,0.20652785674444402,0.06938758996099267,0.05699677304494725,1.0,2410.087528634248
33,all,a,und,38000,26000,52000,3385313.1254981086,0.075885909300927,0.1422521998704642,0.04756689364556198,1.0,0.10129467373061472,1122.495869400818
34,all,f,all,124000,63000,185000,30497600.8869343,0.08820942830872125,0.05152827106357093,0.013062518956512528,0.05699885958704883,0.09788080226245535,406.5893591424227
35,all,m,all,180000,92000,268000,28894598.11280184,0.06290004459334024,0.23802749315668248,0.08400948797853008,0.05699974259452258,0.1049071299820915,622.9538105956575
