,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,30000,18000,41000,17029518.0,0.0,0.0,0.0,0.057,0.0,176.16470413314107
1,0-14,f,all,14000,6600,22000,8363481.0,0.0,0.0,0.0,0.056999999999999995,0.0,167.39441388101437
2,0-14,m,all,16000,7200,24000,8666037.0,0.0,0.0,0.0,0.05699999999999999,0.0,184.62879860771423
3,0-4,f,all,7800,0,17000,2854693.9999999995,0.0,0.0,0.0,0.05700000000000001,0.0,273.234189023412
4,0-4,m,all,9200,0,20000,2957962.0,0.0,0.0,0.0,0.057,0.0,311.0249556958473
5,15-24,f,all,12000,0,27000,4604502.000000001,0.11493224454715406,0.09361078904833219,0.01918538387242339,0.05699999999999999,0.18999999999999995,260.61450293647385
6,15-24,m,all,20000,0,43000,4747810.0,0.08089221683920982,0.3621324746027209,0.13368306466001773,0.056999999999999995,0.19000000000000006,421.2468485470143
7,15plus,a,all,275000,168000,381000,42362729.000000015,0.10640701020465411,0.19944982345211984,0.06670588101158453,0.05700000000000003,0.14202105794459083,649.1555348098558
8,15plus,a,alc,24000,4000,60000,2825843.1600000025,0.7841533133778017,1.0,1.0,0.5201755997438681,0.9426206751916454,849.3040356846974
9,15plus,a,smk,17000,2000,49000,8449238.82,0.38514527858679115,1.0,0.33444943623927564,0.25438387130848367,0.5328288426055487,201.2015562840961
10,15plus,f,alc,2700,420,7100,398414.8800000001,1.0,1.0,1.0,1.0,1.0,677.6855322271093
11,15plus,f,smk,2400,280,6700,1571525.3600000008,0.9142105363003704,1.0,0.2535211267605633,0.6339838178885793,0.9358733996875972,152.71786641737674
12,15plus,f,all,110000,51000,169000,22134160.000000004,0.12154118069084169,0.07100000000000002,0.018000000000000002,0.057000000000000016,0.13486620815969527,496.96939029988033
13,15plus,m,all,165000,76000,253000,20228569.00000002,0.08984715611865558,0.3399999999999998,0.11999999999999997,0.05699999999999995,0.14984991573056877,815.6780640291454
14,15plus,m,alc,22000,4000,57000,2427428.2800000017,0.7487263009887967,1.0,1.0,0.4414218081595009,0.9332029811669212,906.3089600323839
15,15plus,m,smk,16000,2200,44000,6877713.460000002,0.26425634152545774,1.0,0.35294117647058837,0.16764705882352937,0.440735046266379,232.6354549815746
16,18plus,a,dia,9100,1400,24000,4507691.336999998,1.0,0.721918205105185,0.49158074751292585,0.45542663978291864,0.9079083857448064,201.87717657829512
17,18plus,f,dia,4000,560,11000,2690211.940000001,1.0,0.5340490170358968,0.14809795246094998,0.4151770580582906,0.8871977856872915,148.68716997813928
18,18plus,m,dia,4700,580,13000,1817479.3969999983,1.0,1.0,1.0,0.5150036041844578,0.9385639759271535,258.5999053281155
19,25-34,f,all,25000,0,56000,5484424.000000001,0.16724365412727704,0.09361078904833221,0.027917611087306192,0.057,0.18999999999999995,455.8363831826276
20,25-34,m,all,42000,0,93000,5579801.0,0.11794967050926182,0.36213247460272097,0.1455079437959082,0.057,0.19,752.7150161806845
21,35-44,f,all,24000,0,54000,4198351.000000001,0.167243654127277,0.09361078904833217,0.027917611087306192,0.05699999999999998,0.18999999999999995,571.6530132902179
22,35-44,m,all,42000,0,94000,4274764.0,0.11794967050926176,0.36213247460272086,0.14550794379590815,0.056999999999999995,0.18999999999999995,982.5103795203665
23,45-54,f,all,18000,0,40000,3117262.0,0.10206450010801338,0.05128626782169253,0.01275343390859271,0.05699999999999998,0.08679655415553778,577.4298085948502
24,45-54,m,all,28000,0,63000,2767469.0,0.0709681839236975,0.3085470185416359,0.09046963517309352,0.056999999999999995,0.09279168438743124,1011.754783883758
25,5-14,f,all,6500,0,14000,5508787.0,0.0,0.0,0.0,0.05699999999999999,0.0,117.9933077826389
26,5-14,m,all,6300,0,14000,5708075.0,0.0,0.0,0.0,0.056999999999999995,0.0,110.36995834848001
27,55-64,f,all,14000,0,31000,2382864.0,0.04724728034026159,0.015690338163570947,0.0,0.056999999999999995,0.0,587.5282852903061
28,55-64,m,all,18000,0,39000,1658499.0000000002,0.026121287361112196,0.2573962019140318,0.037931975912532064,0.056999999999999974,0.0,1085.318712884361
29,65plus,f,all,16000,0,37000,2346757.000000002,0.04724728034026158,0.015690338163570926,0.0,0.056999999999999953,0.0,681.7919367024361
30,65plus,m,all,15000,0,33000,1200226.0000000002,0.026121287361112192,0.2573962019140319,0.037931975912532084,0.05700000000000001,0.0,1249.7646276617902
31,all,a,all,304000,197000,412000,59392246.99999995,0.07589696576053104,0.14226164603605598,0.047579327315230305,0.057000000000000085,0.10129941017385663,511.8513195838512
32,all,a,hiv,145000,69000,251000,6016399.590000001,0.680235862660099,0.7482877548295411,0.44273957333091546,0.2999999999999999,1.0,2410.07928131981
33,all,a,und,38000,26000,52000,3385358.0790000022,0.6064122822111899,0.6348959343398082,0.4342035986247314,1.0,0.5331547903887182,1122.480963999672
34,all,f,all,124000,63000,185000,30497640.999999996,0.08821049273942208,0.0515294071433263,0.013063793360279904,0.05700000000000006,0.09788134859348635,406.58882436185803
35,all,m,all,180000,92000,268000,28894606.000000004,0.0629003003882454,0.2380275910320425,0.08400973801130915,0.05700000000000002,0.10490710134618199,622.9536405514579
