,age_group,sex,risk_factor,M,L,U,N,IncR
0,0-14,a,all,30000,18000,41000,17029518.0,176.16470413314107
1,0-14,f,all,14000,6600,22000,8363481.0,167.39441388101437
2,0-14,m,all,16000,7200,24000,8666037.0,184.62879860771423
3,0-4,f,all,7800,0,17000,2854693.9999999995,273.234189023412
4,0-4,m,all,9200,0,20000,2957962.0,311.0249556958473
5,15-24,f,all,12000,0,27000,4604501.999999999,260.61450293647397
6,15-24,m,all,20000,0,43000,4747810.000000001,421.2468485470142
7,15plus,a,all,275000,168000,381000,42362728.99999999,649.1555348098561
8,15plus,f,all,110000,51000,169000,22134160.0,496.9693902998804
9,15plus,m,all,165000,76000,253000,20228568.99999999,815.6780640291466
10,25-34,f,all,25000,0,56000,5484424.000000001,455.8363831826276
11,25-34,m,all,42000,0,93000,5579801.000000001,752.7150161806844
12,35-44,f,all,24000,0,54000,4198350.999999999,571.6530132902182
13,35-44,m,all,42000,0,94000,4274764.000000001,982.5103795203663
14,45-54,f,all,18000,0,40000,3117262.0000000005,577.4298085948501
15,45-54,m,all,28000,0,63000,2767468.9999999995,1011.7547838837583
16,5-14,f,all,6500,0,14000,5508787.0,117.9933077826389
17,5-14,m,all,6300,0,14000,5708075.0,110.36995834848001
18,55-64,f,all,14000,0,31000,2382863.999999999,587.5282852903064
19,55-64,m,all,18000,0,39000,1658499.0000000002,1085.318712884361
20,65plus,f,all,16000,0,37000,2346756.9999999977,681.7919367024373
21,65plus,m,all,15000,0,33000,1200226.000000001,1249.7646276617895
22,all,a,all,304000,197000,412000,59392246.99999996,511.851319583851
23,all,f,all,124000,63000,185000,30497640.999999993,406.58882436185814
24,all,m,all,180000,92000,268000,28894606.00000002,622.9536405514576
