,age_group,sex,risk_factor,M,L,U,N,IncR
0,0-14,a,all,356000,293000,419000,361569247.0,98.45970113713791
1,0-14,f,all,172000,130000,214000,172690430.0,99.60019208939372
2,0-14,m,all,183000,139000,228000,188878817.0,96.88751915467577
3,0-4,f,all,72000,31000,113000,55340254.99999999,130.10420714541343
4,0-4,m,all,86000,37000,134000,59967171.0,143.41180110030535
5,15-24,f,all,328000,143000,514000,120991317.99999999,271.09383170782553
6,15-24,m,all,284000,124000,444000,133594290.00000001,212.5839360349907
7,15plus,a,all,2600000,2140000,3060000,1045994598.0,248.56724929281137
8,15plus,f,all,1010000,766000,1260000,508369980.99999964,198.6742014178844
9,15plus,m,all,1590000,1200000,1970000,537624616.9999998,295.74538622735736
10,25-34,f,all,245000,107000,383000,112441653.00000004,217.8907846543308
11,25-34,m,all,289000,126000,452000,122376710.0,236.15604635882107
12,35-44,f,all,147000,64000,230000,94965021.0,154.79383719611877
13,35-44,m,all,274000,119000,428000,101964717.99999997,268.7204018943102
14,45-54,f,all,124000,54000,193000,74773727.99999997,165.8336468124206
15,45-54,m,all,290000,126000,453000,78327264.00000001,370.24145258029176
16,5-14,f,all,100000,43000,156000,117350175.0,85.215041221711
17,5-14,m,all,98000,43000,153000,128911646.0,76.02106019187747
18,55-64,f,all,99000,43000,154000,54992444.00000002,180.02473212501695
19,55-64,m,all,255000,111000,399000,55818419.99999999,456.8384415037187
20,65plus,f,all,71000,31000,111000,50205816.999999955,141.417875940551
21,65plus,m,all,194000,85000,304000,45543215.00000002,425.96904939627103
22,all,a,all,2950000,2490000,3420000,1407563845.0,209.58196748794722
23,all,f,all,1190000,927000,1440000,681060410.9999998,174.72752501539844
24,all,m,all,1770000,1380000,2150000,726503434.0000007,243.6327093809715
