,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,356000,293000,419000,361569247.0,0.0,0.0,0.0,0.14000000000000004,0.0,98.45970113713791
1,0-14,f,all,172000,130000,214000,172690430.0,0.0,0.0,0.0,0.14,0.0,99.60019208939372
2,0-14,m,all,183000,139000,228000,188878817.0,0.0,0.0,0.0,0.14,0.0,96.88751915467577
3,0-4,f,all,72000,31000,113000,55340254.99999999,0.0,0.0,0.0,0.14000000000000004,0.0,130.10420714541343
4,0-4,m,all,86000,37000,134000,59967171.0,0.0,0.0,0.0,0.13999999999999999,0.0,143.41180110030535
5,15-24,f,all,328000,143000,514000,120991317.99999999,0.05796978570547404,0.013991016540752424,0.005120786384450152,0.14000000000000004,0.0020000000000000005,271.09383170782553
6,15-24,m,all,284000,124000,444000,133594290.00000001,0.06359938640875702,0.2198688163043118,0.0943196870695314,0.13999999999999999,0.0020000000000000005,212.5839360349907
7,15plus,a,all,2600000,2140000,3060000,1045994598.0,0.08072687415160047,0.11988072951214224,0.04920263465070017,0.13999999999999999,0.0014691287898983977,248.56724929281137
8,15plus,a,alc,258000,74000,553000,51465690.05199999,0.0,0.0,1.0,0.0,0.0,501.30484938474837
9,15plus,a,smk,110000,21000,271000,125394595.47399996,0.0,1.0,0.0,0.0,0.0,87.7230789606144
10,15plus,f,alc,11000,3400,24000,2541849.904999998,0.0,0.0,1.0,0.0,0.0,432.755686256778
11,15plus,f,smk,7700,1800,18000,7117179.733999943,0.0,1.0,0.0,0.0,0.0,108.18892156419525
12,15plus,f,all,1010000,766000,1260000,508369980.99999964,0.07705238781201758,0.013999999999999898,0.004999999999999999,0.1400000000000001,0.0014490887769394096,198.6742014178844
13,15plus,m,all,1590000,1200000,1970000,537624616.9999998,0.08420141473544174,0.2200000000000001,0.09100000000000003,0.14000000000000004,0.0014880783332880765,295.74538622735736
14,15plus,m,alc,268000,93000,535000,48923840.14699999,0.0,0.0,1.0,0.0,0.0,547.7901963434359
15,15plus,m,smk,118000,30000,267000,118277415.74000001,0.0,1.0,0.0,0.0,0.0,99.76545332998329
16,18plus,a,dia,105000,31000,224000,84439874.27599993,1.0,0.0,0.0,0.0,0.0,124.34883507381512
17,18plus,f,dia,39000,11000,82000,39171120.92799998,1.0,0.0,0.0,0.0,0.0,99.56314518465143
18,18plus,m,dia,68000,20000,145000,45268753.348,1.0,0.0,0.0,0.0,0.0,150.2139886142994
19,25-34,f,all,245000,107000,383000,112441653.00000004,0.08294263273582646,0.013991016540752417,0.004958096514251027,0.13999999999999996,0.0019999999999999996,217.8907846543308
20,25-34,m,all,289000,126000,452000,122376710.0,0.09094135922948765,0.21986881630431182,0.08983101240871535,0.14,0.002000000000000001,236.15604635882107
21,35-44,f,all,147000,64000,230000,94965021.0,0.0829426327358265,0.013991016540752424,0.004958096514251028,0.14,0.002000000000000001,154.79383719611877
22,35-44,m,all,274000,119000,428000,101964717.99999997,0.09094135922948768,0.21986881630431185,0.0898310124087154,0.1400000000000001,0.0020000000000000013,268.7204018943102
23,45-54,f,all,124000,54000,193000,74773727.99999997,0.08303270448348646,0.014006210118166091,0.004963480770855563,0.14000000000000007,0.0010682528761973731,165.8336468124206
24,45-54,m,all,290000,126000,453000,78327264.00000001,0.09103946391235848,0.22010600387968426,0.08992791928429972,0.13999999999999999,0.001074416540324963,370.24145258029176
25,5-14,f,all,100000,43000,156000,117350175.0,0.0,0.0,0.0,0.14,0.0,85.215041221711
26,5-14,m,all,98000,43000,153000,128911646.0,0.0,0.0,0.0,0.14,0.0,76.02106019187747
27,55-64,f,all,99000,43000,154000,54992444.00000002,0.08313597220607315,0.014023629632922004,0.0049696538487830795,0.13999999999999996,0.0,180.02473212501695
28,55-64,m,all,255000,111000,399000,55818419.99999999,0.09115334374983612,0.2203813310276319,0.0900404087080364,0.14000000000000004,0.0,456.8384415037187
29,65plus,f,all,71000,31000,111000,50205816.999999955,0.08313597220607329,0.014023629632922025,0.004969653848783087,0.14000000000000018,0.0,141.417875940551
30,65plus,m,all,194000,85000,304000,45543215.00000002,0.09115334374983604,0.22038133102763177,0.09004040870803637,0.13999999999999993,0.0,425.96904939627103
31,all,a,all,2950000,2490000,3420000,1407563845.0,0.05999008469558973,0.08908625773490222,0.03656366298041706,0.13999999999999996,0.0010917449915033878,209.58196748794722
32,all,a,hiv,93000,29000,194000,1536700.7780000009,0.0,0.0,0.0,0.0,1.0,6051.926395263395
33,all,a,und,738000,624000,861000,197058938.29999995,0.0,0.0,0.0,1.0,0.0,374.5072445668404
34,all,f,all,1190000,927000,1440000,681060410.9999998,0.05751489925906146,0.010450144537912286,0.0037321944778258426,0.14000000000000007,0.001081656226234534,174.72752501539844
35,all,m,all,1770000,1380000,2150000,726503434.0000007,0.06231044648854331,0.1628036568096936,0.06734151258946416,0.1399999999999999,0.0011012027012662396,243.6327093809715
