,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,356000,293000,419000,361569247.0,0.0,0.0,0.0,0.14000000000000004,0.0,98.45970113713791
1,0-14,f,all,172000,130000,214000,172690430.0,0.0,0.0,0.0,0.14,0.0,99.60019208939372
2,0-14,m,all,183000,139000,228000,188878817.0,0.0,0.0,0.0,0.14,0.0,96.88751915467577
3,0-4,f,all,72000,31000,113000,55340254.99999999,0.0,0.0,0.0,0.14000000000000004,0.0,130.10420714541343
4,0-4,m,all,86000,37000,134000,59967171.0,0.0,0.0,0.0,0.13999999999999999,0.0,143.41180110030535
5,15-24,f,all,328000,143000,514000,120991314.78351963,0.05800987392310872,0.013999973787791048,0.0049999735485316355,0.13999998412181422,0.001999973468778462,271.09383891468985
6,15-24,m,all,284000,124000,444000,133594290.00000001,0.06364039653940302,0.21999999999999997,0.091,0.14,0.001999999999999999,212.5839360349907
7,15plus,a,all,2600000,2140000,3060000,1045994559.7608943,0.0807268571078325,0.11988070436591604,0.049202599891779164,0.13999998306469463,0.001469105557073571,248.5672583798465
8,15plus,a,alc,258000,74000,553000,51465651.81289297,0.08384798584470234,0.20982537796902323,1.0,0.1399996558046689,0.0014856804955164324,501.3052218554956
9,15plus,a,smk,110000,21000,271000,125394564.58705227,0.08379556084988525,1.0,0.0861185640671498,0.13999990915571137,0.0014857236339728525,87.72310056839429
10,15plus,f,alc,11000,3400,24000,2541811.6658930313,0.07704531876047753,0.013988059068066558,1.0,0.13999303086168158,0.0014395278110305753,432.76219664903056
11,15plus,f,smk,7700,1800,18000,7117148.847052365,0.07705081660141516,1.0,0.004995681906686247,0.13999839944614642,0.001446591706871889,108.18939108164119
12,15plus,f,all,1010000,766000,1260000,508369942.7608929,0.07705235246728899,0.013999940296233936,0.00499992515703972,0.13999996515482993,0.0014490409728254354,198.6742163619701
13,15plus,m,all,1590000,1200000,1970000,537624616.9999992,0.08420141473544174,0.2200000000000004,0.091,0.14000000000000012,0.001488078333288076,295.7453862273577
14,15plus,m,alc,268000,93000,535000,48923840.146999925,0.08420141473544179,0.2200000000000004,1.0,0.14000000000000024,0.0014880783332880795,547.7901963434367
15,15plus,m,smk,118000,30000,267000,118277415.74000002,0.08420141473544171,1.0,0.091,0.13999999999999993,0.0014880783332880756,99.76545332998326
16,18plus,a,dia,105000,31000,224000,84439853.36138788,1.0,0.12443777965990656,0.05110491163724709,0.13999987117960394,0.0014279825693614182,124.34886587334333
17,18plus,f,dia,39000,11000,82000,39171100.01338785,1.0,0.013999661238815856,0.0049994687399867975,0.1399997223061044,0.001406299691217978,99.56319834436772
18,18plus,m,dia,68000,20000,145000,45268753.34799995,1.0,0.2200000000000003,0.09100000000000007,0.14000000000000026,0.0014467447866861475,150.21398861429955
19,25-34,f,all,245000,107000,383000,112441649.67249161,0.08299999083623538,0.013999970821103843,0.0049999705547651326,0.13999998454304757,0.0019999704659855273,217.89079110241678
20,25-34,m,all,289000,126000,452000,122376709.99999996,0.09100000000000008,0.2199999999999999,0.09100000000000008,0.13999999999999993,0.002,236.15604635882113
21,35-44,f,all,147000,64000,230000,94965013.35370566,0.08299997437199007,0.013999941301192828,0.004999919885623435,0.1399999709814562,0.001999919644072548,154.79384965964823
22,35-44,m,all,274000,119000,428000,101964718.0,0.09099999999999998,0.22,0.09099999999999998,0.14000000000000004,0.002,268.72040189431016
23,45-54,f,all,124000,54000,193000,74773717.83269645,0.0829999438827329,0.013999927125928525,0.004999864705576431,0.13999994737093807,0.0010681170471572637,165.8336693615337
24,45-54,m,all,290000,126000,453000,78327264.00000007,0.09099999999999991,0.2199999999999998,0.09099999999999991,0.13999999999999996,0.0010744165403249618,370.2414525802915
25,5-14,f,all,100000,43000,156000,117350175.0,0.0,0.0,0.0,0.14,0.0,85.215041221711
26,5-14,m,all,98000,43000,153000,128911646.0,0.0,0.0,0.0,0.14,0.0,76.02106019187747
27,55-64,f,all,99000,43000,154000,54992444.00000004,0.08299999999999996,0.013999999999999891,0.004999999999999998,0.13999999999999996,0.0,180.0247321250169
28,55-64,m,all,255000,111000,399000,55818420.0,0.09100000000000001,0.22000000000000003,0.09100000000000001,0.13999999999999996,0.0,456.8384415037187
29,65plus,f,all,71000,31000,111000,50205803.11847955,0.08299981347041802,0.013999743539028862,0.004999724890113059,0.1399998533218916,0.0,141.4179150415116
30,65plus,m,all,194000,85000,304000,45543215.000000015,0.09099999999999998,0.21999999999999986,0.09099999999999998,0.13999999999999996,0.0,425.9690493962711
31,all,a,all,2950000,2490000,3420000,1407563806.7608922,0.05999007146660171,0.08908623821154667,0.03656363680686458,0.13999998741496675,0.0010917277163794634,209.58197318163403
32,all,a,hiv,93000,29000,194000,1536676.4204134531,0.07846716274012557,0.12123675856794441,0.04975772001947068,0.13999326459057806,1.0,6052.022323279856
33,all,a,und,738000,624000,861000,197058915.2322876,0.05999002165968494,0.08908618841280884,0.03656355020058184,1.0,0.001091675291419626,374.5072884066504
34,all,f,all,1190000,927000,1440000,681060372.7608933,0.057514871779421585,0.010450099773388302,0.0037321385409475444,0.13999997399021022,0.0010816205227551507,174.72753482572463
35,all,m,all,1770000,1380000,2150000,726503434.0000005,0.06231044648854327,0.1628036568096937,0.0673415125894641,0.13999999999999999,0.0011012027012662386,243.6327093809716
