,Age,Sex,N
0,0,m,11722644.0
1,0,f,10877951.0
2,1,m,11785525.0
3,1,f,10901323.0
4,2,m,12010312.0
5,2,f,11083779.0
6,3,m,12157120.0
7,3,f,11191548.0
8,4,m,12291570.0
9,4,f,11285654.0
10,5,m,12411108.0
11,5,f,11367452.0
12,6,m,12408683.0
13,6,f,11344525.0
14,7,m,12598985.0
15,7,f,11507056.0
16,8,m,12844344.0
17,8,f,11714752.0
18,9,m,12963497.0
19,9,f,11795013.0
20,10,m,13071271.0
21,10,f,11866207.0
22,11,m,13147219.0
23,11,f,11927867.0
24,12,m,13159088.0
25,12,f,11943855.0
26,13,m,13143011.0
27,13,f,11931901.0
28,14,m,13164440.0
29,14,f,11951547.0
30,15,m,13254260.0
31,15,f,12026538.0
32,16,m,13404021.0
33,16,f,12154060.0
34,17,m,13507508.0
35,17,f,12248167.0
36,18,m,13563351.0
37,18,f,12307114.0
38,19,m,13607661.0
39,19,f,12339067.0
40,20,m,13535815.0
41,20,f,12247692.0
42,21,m,13350205.0
43,21,f,12070010.0
44,22,m,13216112.0
45,22,f,11947587.0
46,23,m,13130614.0
47,23,f,11868128.0
48,24,m,13024743.0
49,24,f,11782955.0
50,25,m,12925430.0
51,25,f,11707025.0
52,26,m,12799008.0
53,26,f,11623556.0
54,27,m,12619198.0
55,27,f,11515540.0
56,28,m,12463344.0
57,28,f,11426342.0
58,29,m,12322386.0
59,29,f,11336379.0
60,30,m,12126173.0
61,30,f,11195097.0
62,31,m,11967918.0
63,31,f,11083508.0
64,32,m,11860987.0
65,32,f,10987619.0
66,33,m,11712349.0
67,33,f,10840356.0
68,34,m,11579917.0
69,34,f,10726231.0
70,35,m,11373025.0
71,35,f,10548050.0
72,36,m,11115230.0
73,36,f,10313912.0
74,37,m,10873040.0
75,37,f,10095195.0
76,38,m,10600346.0
77,38,f,9848960.0
78,39,m,10363624.0
79,39,f,9630067.0
80,40,m,10106533.0
81,40,f,9397997.0
82,41,m,9789595.0
83,41,f,9126443.0
84,42,m,9470057.0
85,42,f,8854547.0
86,43,m,9219926.0
87,43,f,8641862.0
88,44,m,9053342.0
89,44,f,8507988.0
90,45,m,8854630.0
91,45,f,8349724.0
92,46,m,8643322.0
93,46,f,8180810.0
94,47,m,8441620.0
95,47,f,8017673.0
96,48,m,8191931.0
97,48,f,7802971.0
98,49,m,7946551.0
99,49,f,7587447.0
100,50,m,7699935.0
101,50,f,7369758.0
102,51,m,7459728.0
103,51,f,7155461.0
104,52,m,7251760.0
105,52,f,6970491.0
106,53,m,7037481.0
107,53,f,6777823.0
108,54,m,6800306.0
109,54,f,6561570.0
110,55,m,6572001.0
111,55,f,6354892.0
112,56,m,6371138.0
113,56,f,6177236.0
114,57,m,6168869.0
115,57,f,6001656.0
116,58,m,5945175.0
117,58,f,5809535.0
118,59,m,5711555.0
119,59,f,5610218.0
120,60,m,5472572.0
121,60,f,5406686.0
122,61,m,5228766.0
123,61,f,5198577.0
124,62,m,4998684.0
125,62,f,5002061.0
126,63,m,4784771.0
127,63,f,4815733.0
128,64,m,4564889.0
129,64,f,4615850.0
130,65,m,4341110.0
131,65,f,4406487.0
132,66,m,4118225.000000001
133,66,f,4192846.0
134,67,m,3884529.0
135,67,f,3965073.0
136,68,m,3638648.0
137,68,f,3725532.0
138,69,m,3388334.0
139,69,f,3483395.0
140,70,m,3137747.0
141,70,f,3244124.0
142,71,m,2889535.0
143,71,f,3010856.0
144,72,m,2513628.0
145,72,f,2678463.0
146,73,m,2154103.0
147,73,f,2375066.0
148,74,m,1944629.0
149,74,f,2187943.0
150,75,m,1759366.0
151,75,f,2003040.0
152,76,m,1582936.0
153,76,f,1828508.0
154,77,m,1420034.0
155,77,f,1668497.0
156,78,m,1270474.0
157,78,f,1521827.0
158,79,m,1133263.0
159,79,f,1385912.0
160,80,m,1007065.0
161,80,f,1258130.0
162,81,m,891114.0
163,81,f,1137560.0
164,82,m,784353.0
165,82,f,1024504.0
166,83,m,681572.0
167,83,f,908819.0
168,84,m,580245.0
169,84,f,786292.0
170,85,m,485555.0
171,85,f,667150.0
172,86,m,403606.0
173,86,f,561607.0
174,87,m,333716.0
175,87,f,469519.0
176,88,m,273584.0
177,88,f,387431.0
178,89,m,222113.0
179,89,f,315370.0
180,90,m,177801.0
181,90,f,252916.0
182,91,m,139901.0
183,91,f,199538.0
184,92,m,108126.0
185,92,f,154564.0
186,93,m,81891.0
187,93,f,117460.0
188,94,m,60596.0
189,94,f,87537.0
190,95,m,43751.0
191,95,f,63838.0
192,96,m,30832.0
193,96,f,45422.0
194,97,m,21230.0
195,97,f,31497.0
196,98,m,14306.0
197,98,f,21346.0
198,99,m,9464.0
199,99,f,14163.0
200,100,m,15833.0
201,100,f,23585.0
