,Age,Sex,N,Und,Alc,Smk,HIV,Dia
0,0,m,10081473.84,0.0,0.0,0.0,0.0,0.0
1,0,m,1641170.1600000001,1.0,0.0,0.0,0.0,0.0
2,0,f,9355037.86,0.0,0.0,0.0,0.0,0.0
3,0,f,1522913.1400000001,1.0,0.0,0.0,0.0,0.0
4,1,m,10135551.5,0.0,0.0,0.0,0.0,0.0
5,1,m,1649973.5000000002,1.0,0.0,0.0,0.0,0.0
6,1,f,9375137.78,0.0,0.0,0.0,0.0,0.0
7,1,f,1526185.2200000002,1.0,0.0,0.0,0.0,0.0
8,2,m,10328868.32,0.0,0.0,0.0,0.0,0.0
9,2,m,1681443.6800000002,1.0,0.0,0.0,0.0,0.0
10,2,f,9532049.94,0.0,0.0,0.0,0.0,0.0
11,2,f,1551729.06,1.0,0.0,0.0,0.0,0.0
12,3,m,10455123.2,0.0,0.0,0.0,0.0,0.0
13,3,m,1701996.8,1.0,0.0,0.0,0.0,0.0
14,3,f,9624731.28,0.0,0.0,0.0,0.0,0.0
15,3,f,1566816.7200000002,1.0,0.0,0.0,0.0,0.0
16,4,m,10570750.2,0.0,0.0,0.0,0.0,0.0
17,4,m,1720819.8000000003,1.0,0.0,0.0,0.0,0.0
18,4,f,9705662.44,0.0,0.0,0.0,0.0,0.0
19,4,f,1579991.56,1.0,0.0,0.0,0.0,0.0
20,5,m,10673552.879999999,0.0,0.0,0.0,0.0,0.0
21,5,m,1737555.12,1.0,0.0,0.0,0.0,0.0
22,5,f,9776008.72,0.0,0.0,0.0,0.0,0.0
23,5,f,1591443.2800000003,1.0,0.0,0.0,0.0,0.0
24,6,m,10671467.379999999,0.0,0.0,0.0,0.0,0.0
25,6,m,1737215.62,1.0,0.0,0.0,0.0,0.0
26,6,f,9756291.5,0.0,0.0,0.0,0.0,0.0
27,6,f,1588233.5000000002,1.0,0.0,0.0,0.0,0.0
28,7,m,10835127.1,0.0,0.0,0.0,0.0,0.0
29,7,m,1763857.9000000001,1.0,0.0,0.0,0.0,0.0
30,7,f,9896068.16,0.0,0.0,0.0,0.0,0.0
31,7,f,1610987.84,1.0,0.0,0.0,0.0,0.0
32,8,m,11046135.84,0.0,0.0,0.0,0.0,0.0
33,8,m,1798208.1600000001,1.0,0.0,0.0,0.0,0.0
34,8,f,10074686.72,0.0,0.0,0.0,0.0,0.0
35,8,f,1640065.2800000003,1.0,0.0,0.0,0.0,0.0
36,9,m,11148607.42,0.0,0.0,0.0,0.0,0.0
37,9,m,1814889.58,1.0,0.0,0.0,0.0,0.0
38,9,f,10143711.18,0.0,0.0,0.0,0.0,0.0
39,9,f,1651301.82,1.0,0.0,0.0,0.0,0.0
40,10,m,11241293.06,0.0,0.0,0.0,0.0,0.0
41,10,m,1829977.9400000002,1.0,0.0,0.0,0.0,0.0
42,10,f,10204938.02,0.0,0.0,0.0,0.0,0.0
43,10,f,1661268.9800000002,1.0,0.0,0.0,0.0,0.0
44,11,m,11306608.34,0.0,0.0,0.0,0.0,0.0
45,11,m,1840610.6600000001,1.0,0.0,0.0,0.0,0.0
46,11,f,10257965.62,0.0,0.0,0.0,0.0,0.0
47,11,f,1669901.3800000001,1.0,0.0,0.0,0.0,0.0
48,12,m,11316815.68,0.0,0.0,0.0,0.0,0.0
49,12,m,1842272.32,1.0,0.0,0.0,0.0,0.0
50,12,f,10271715.3,0.0,0.0,0.0,0.0,0.0
51,12,f,1672139.7000000002,1.0,0.0,0.0,0.0,0.0
52,13,m,11302989.459999999,0.0,0.0,0.0,0.0,0.0
53,13,m,1840021.5400000003,1.0,0.0,0.0,0.0,0.0
54,13,f,10261434.86,0.0,0.0,0.0,0.0,0.0
55,13,f,1670466.1400000001,1.0,0.0,0.0,0.0,0.0
56,14,m,11321418.4,0.0,0.0,0.0,0.0,0.0
57,14,m,1843021.6,1.0,0.0,0.0,0.0,0.0
58,14,f,10278330.42,0.0,0.0,0.0,0.0,0.0
59,14,f,1673216.58,1.0,0.0,0.0,0.0,0.0
60,15,f,10126738.980574265,0.0,0.0,0.0,0.0,0.0
61,15,f,50888.1355807752,0.0,1.0,0.0,0.0,0.0
62,15,f,143787.36889253417,0.0,0.0,1.0,0.0,0.0
63,15,f,722.5495924247948,0.0,1.0,1.0,0.0,0.0
64,15,f,20294.0660933352,0.0,0.0,0.0,1.0,0.0
65,15,f,101.9802316248,0.0,1.0,0.0,1.0,0.0
66,15,f,288.1510398647979,0.0,0.0,1.0,1.0,0.0
67,15,f,1.4479951751999895,0.0,1.0,1.0,1.0,0.0
68,15,f,1648538.9038144154,1.0,0.0,0.0,0.0,0.0
69,15,f,8284.1150945448,1.0,1.0,0.0,0.0,0.0
70,15,f,23407.246098784635,1.0,0.0,1.0,0.0,0.0
71,15,f,117.62435225519917,1.0,1.0,1.0,0.0,0.0
72,15,f,3303.6851779848002,1.0,0.0,0.0,1.0,0.0
73,15,f,16.6014330552,1.0,1.0,0.0,1.0,0.0
74,15,f,46.90830881519967,1.0,0.0,1.0,1.0,0.0
75,16,f,10234116.682143977,0.0,0.0,0.0,0.0,0.0
76,16,f,51427.722020824,0.0,1.0,0.0,0.0,0.0
77,16,f,145312.00157202294,0.0,0.0,1.0,0.0,0.0
78,16,f,730.2110631759947,0.0,1.0,1.0,0.0,0.0
79,16,f,20509.251868024003,0.0,0.0,0.0,1.0,0.0
80,16,f,103.06156717600001,0.0,1.0,0.0,1.0,0.0
81,16,f,291.2064159759979,0.0,0.0,1.0,1.0,0.0
82,16,f,1.4633488239999894,0.0,1.0,1.0,1.0,0.0
83,16,f,1666018.9947676242,1.0,0.0,0.0,0.0,0.0
84,16,f,8371.954747576001,1.0,1.0,0.0,0.0,0.0
85,16,f,23655.442116375834,1.0,0.0,1.0,0.0,0.0
86,16,f,118.87156842399916,1.0,1.0,1.0,0.0,0.0
87,16,f,3338.7154203760006,1.0,0.0,0.0,1.0,0.0
88,16,f,16.777464424,1.0,1.0,0.0,1.0,0.0
89,16,f,47.40569562399966,1.0,0.0,1.0,1.0,0.0
90,17,f,10313357.859051654,0.0,0.0,0.0,0.0,0.0
91,17,f,51825.91888970681,0.0,1.0,0.0,0.0,0.0
92,17,f,146437.12984454577,0.0,0.0,1.0,0.0,0.0
93,17,f,735.8649740931947,0.0,1.0,1.0,0.0,0.0
94,17,f,20668.0518217468,0.0,0.0,0.0,1.0,0.0
95,17,f,103.85955689320001,0.0,1.0,0.0,1.0,0.0
96,17,f,293.4611820531979,0.0,0.0,1.0,1.0,0.0
97,17,f,1.4746793067999895,0.0,1.0,1.0,1.0,0.0
98,17,f,1678918.721240967,1.0,0.0,0.0,0.0,0.0
99,17,f,8436.7774936732,1.0,1.0,0.0,0.0,0.0
100,17,f,23838.60253283303,1.0,0.0,1.0,0.0,0.0
101,17,f,119.79197252679914,1.0,1.0,1.0,0.0,0.0
102,17,f,3364.5665756332005,1.0,0.0,0.0,1.0,0.0
103,17,f,16.907369726800002,1.0,1.0,0.0,1.0,0.0
104,17,f,47.772750566799665,1.0,0.0,1.0,1.0,0.0
105,50,f,5701918.557133538,0.0,0.0,0.0,0.0,0.0
106,50,f,28652.8570710228,0.0,1.0,0.0,0.0,0.0
107,50,f,516095.13657806296,0.0,0.0,0.0,0.0,1.0
108,50,f,2593.4428973772006,0.0,1.0,0.0,0.0,1.0
109,50,f,80960.30405666222,0.0,0.0,1.0,0.0,0.0
110,50,f,406.83569877719714,0.0,1.0,1.0,0.0,0.0
111,50,f,7327.922831737149,0.0,0.0,1.0,0.0,1.0
112,50,f,36.82373282279974,0.0,1.0,1.0,0.0,1.0
113,50,f,928219.299998483,1.0,0.0,0.0,0.0,0.0
114,50,f,4664.418592957201,1.0,1.0,0.0,0.0,0.0
115,50,f,84015.48734991724,1.0,0.0,0.0,0.0,1.0
116,50,f,422.18837864280016,1.0,1.0,0.0,0.0,1.0
117,50,f,13179.584381317109,1.0,0.0,1.0,0.0,0.0
118,50,f,66.22906724279954,1.0,1.0,1.0,0.0,0.0
119,50,f,1192.9176702827917,1.0,0.0,1.0,0.0,1.0
120,50,f,5.994561157199959,1.0,1.0,1.0,0.0,1.0
121,51,f,5536118.806173188,0.0,0.0,0.0,0.0,0.0
122,51,f,27819.6924933326,0.0,1.0,0.0,0.0,0.0
123,51,f,501088.17983901274,0.0,0.0,0.0,0.0,1.0
124,51,f,2518.0310544674007,0.0,1.0,0.0,0.0,1.0
125,51,f,78606.14937771203,0.0,0.0,1.0,0.0,0.0
126,51,f,395.00577576739715,0.0,1.0,1.0,0.0,0.0
127,51,f,7114.84231008735,0.0,0.0,1.0,0.0,1.0
128,51,f,35.75297643259975,0.0,1.0,1.0,0.0,1.0
129,51,f,901228.6428654027,1.0,0.0,0.0,0.0,0.0
130,51,f,4528.787150077401,1.0,1.0,0.0,0.0,0.0
131,51,f,81572.49439239742,1.0,0.0,0.0,0.0,1.0
132,51,f,409.9120321226001,1.0,1.0,0.0,0.0,1.0
133,51,f,12796.349898697308,1.0,0.0,1.0,0.0,0.0
134,51,f,64.30326582259954,1.0,1.0,1.0,0.0,0.0
135,51,f,1158.230143502592,1.0,0.0,1.0,0.0,1.0
136,51,f,5.82025197739996,1.0,1.0,1.0,0.0,1.0
137,52,f,5393009.10358689,0.0,0.0,0.0,0.0,0.0
138,52,f,27100.5482592306,0.0,1.0,0.0,0.0,0.0
139,52,f,488134.9570313107,0.0,0.0,0.0,0.0,1.0
140,52,f,2452.9394825694008,0.0,1.0,0.0,0.0,1.0
141,52,f,76574.16577101006,0.0,0.0,1.0,0.0,0.0
142,52,f,384.79480286939724,0.0,1.0,1.0,0.0,0.0
143,52,f,6930.922310789351,0.0,0.0,1.0,0.0,1.0
144,52,f,34.828755330599755,0.0,1.0,1.0,0.0,1.0
145,52,f,877931.7145374008,1.0,0.0,0.0,0.0,0.0
146,52,f,4411.7171584794005,1.0,1.0,0.0,0.0,0.0
147,52,f,79463.83021439942,1.0,0.0,0.0,0.0,1.0
148,52,f,399.31572972060013,1.0,1.0,0.0,0.0,1.0
149,52,f,12465.561869699312,1.0,0.0,1.0,0.0,0.0
150,52,f,62.64101442059956,1.0,1.0,1.0,0.0,0.0
151,52,f,1128.2896785005921,1.0,0.0,1.0,0.0,1.0
152,52,f,5.669797379399961,1.0,1.0,1.0,0.0,1.0
153,53,f,5243943.524423258,0.0,0.0,0.0,0.0,0.0
154,53,f,26351.474997101803,0.0,1.0,0.0,0.0,0.0
155,53,f,474642.65270134195,0.0,0.0,0.0,0.0,1.0
156,53,f,2385.1389582982006,0.0,1.0,0.0,0.0,1.0
157,53,f,74457.61596544128,0.0,0.0,1.0,0.0,0.0
158,53,f,374.1588741981974,0.0,1.0,1.0,0.0,0.0
159,53,f,6739.348009958153,0.0,0.0,1.0,0.0,1.0
160,53,f,33.86607040179977,0.0,1.0,1.0,0.0,1.0
161,53,f,853665.224906112,1.0,0.0,0.0,0.0,0.0
162,53,f,4289.774999528201,1.0,1.0,0.0,0.0,0.0
163,53,f,77267.40857928823,1.0,0.0,0.0,0.0,1.0
164,53,f,388.2784350718001,1.0,1.0,0.0,0.0,1.0
165,53,f,12121.007250188115,1.0,0.0,1.0,0.0,0.0
166,53,f,60.90958417179957,1.0,1.0,1.0,0.0,0.0
167,53,f,1097.1031644117925,1.0,0.0,1.0,0.0,1.0
168,53,f,5.513081228199963,1.0,1.0,1.0,0.0,1.0
169,54,f,5076630.433038739,0.0,0.0,0.0,0.0,0.0
170,54,f,25510.705693662003,0.0,1.0,0.0,0.0,0.0
171,54,f,459498.71967526217,0.0,0.0,0.0,0.0,1.0
172,54,f,2309.038792338001,0.0,1.0,0.0,0.0,1.0
173,54,f,72081.97369426148,0.0,0.0,1.0,0.0,0.0
174,54,f,362.2209733379974,0.0,1.0,1.0,0.0,0.0
175,54,f,6524.322591737955,0.0,0.0,1.0,0.0,1.0
176,54,f,32.785540661999775,0.0,1.0,1.0,0.0,1.0
177,54,f,826428.2100295622,1.0,0.0,0.0,0.0,0.0
178,54,f,4152.905578038001,1.0,1.0,0.0,0.0,0.0
179,54,f,74802.11715643802,1.0,0.0,0.0,0.0,1.0
180,54,f,375.8900359620001,1.0,1.0,0.0,0.0,1.0
181,54,f,11734.274787437917,1.0,0.0,1.0,0.0,0.0
182,54,f,58.96620496199959,1.0,1.0,1.0,0.0,0.0
183,54,f,1062.0990265619928,1.0,0.0,1.0,0.0,1.0
184,54,f,5.337181037999963,1.0,1.0,1.0,0.0,1.0
185,55,f,4916725.437033273,0.0,0.0,0.0,0.0,0.0
186,55,f,24707.163000167202,0.0,1.0,0.0,0.0,0.0
187,55,f,445025.31218512735,0.0,0.0,0.0,0.0,1.0
188,55,f,2236.308101432801,0.0,1.0,0.0,0.0,1.0
189,55,f,69811.5173615267,0.0,0.0,1.0,0.0,0.0
190,55,f,350.81164503279746,0.0,1.0,1.0,0.0,0.0
191,55,f,6318.817820072755,0.0,0.0,1.0,0.0,1.0
192,55,f,31.75285336719978,0.0,1.0,1.0,0.0,1.0
193,55,f,800397.1641682074,1.0,0.0,0.0,0.0,0.0
194,55,f,4022.0963023528016,1.0,1.0,0.0,0.0,0.0
195,55,f,72445.98105339284,1.0,0.0,0.0,0.0,1.0
196,55,f,364.05015604720023,1.0,1.0,0.0,0.0,1.0
197,55,f,11364.665616992721,1.0,0.0,1.0,0.0,0.0
198,55,f,57.1088724471996,1.0,1.0,1.0,0.0,0.0
199,55,f,1028.644761407193,1.0,0.0,1.0,0.0,1.0
200,55,f,5.169069152799965,1.0,1.0,1.0,0.0,1.0
201,56,f,4779274.513517723,0.0,0.0,0.0,0.0,0.0
202,56,f,24016.454841797604,0.0,1.0,0.0,0.0,0.0
203,56,f,432584.2798494777,0.0,0.0,0.0,0.0,1.0
204,56,f,2173.7903510024007,0.0,1.0,0.0,0.0,1.0
205,56,f,67859.88153067711,0.0,0.0,1.0,0.0,0.0
206,56,f,341.00442980239757,0.0,1.0,1.0,0.0,0.0
207,56,f,6142.1703021223575,0.0,0.0,1.0,0.0,1.0
208,56,f,30.865177397599787,0.0,1.0,1.0,0.0,1.0
209,56,f,778021.4324331178,1.0,0.0,0.0,0.0,0.0
210,56,f,3909.655439362401,1.0,1.0,0.0,0.0,0.0
211,56,f,70420.69671968243,1.0,0.0,0.0,0.0,1.0
212,56,f,353.87284783760015,1.0,1.0,0.0,0.0,1.0
213,56,f,11046.957458482322,1.0,0.0,1.0,0.0,0.0
214,56,f,55.512349037599606,1.0,1.0,1.0,0.0,0.0
215,56,f,999.8881887175932,1.0,0.0,1.0,0.0,1.0
216,56,f,5.024563762399966,1.0,1.0,1.0,0.0,1.0
217,57,f,4643429.773397151,0.0,0.0,0.0,0.0,0.0
218,57,f,23333.817956769606,0.0,1.0,0.0,0.0,0.0
219,57,f,420288.62725404976,0.0,0.0,0.0,0.0,1.0
