,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,16000,8300,25000,20351587.0,0.0,0.0,0.0,0.2300000000000001,0.0,78.61794758315408
1,0-14,f,all,7900,2700,13000,10140630.0,0.0,0.0,0.0,0.23000000000000004,0.0,77.90443000089738
2,0-14,m,all,8600,2900,14000,10210957.0,0.0,0.0,0.0,0.23000000000000004,0.0,84.22325155222964
3,0-4,f,all,4200,0,10000,3434596.0,0.0,0.0,0.0,0.23,0.0,122.28512465512684
4,0-4,m,all,5000,0,12000,3478510.0,0.0,0.0,0.0,0.23,0.0,143.7397046436549
5,15-24,f,all,7900,0,19000,5567504.0,0.046357078372781656,0.012055400425396722,0.00840289370882093,0.23000000000000004,0.044999999999999984,141.8948239642037
6,15-24,m,all,18000,0,44000,5449277.0,0.04299072650739483,0.20108411380316074,0.07265140606272526,0.23000000000000007,0.044999999999999984,330.3190496647537
7,15plus,a,all,116000,59000,174000,32654023.00000002,0.05323600268181342,0.10349423622320597,0.03950864550441456,0.2299999999999997,0.03768999121486497,355.23953664147274
8,15plus,a,alc,10000,1500,26000,1290116.2190000005,0.7549211077608063,0.9957757726695272,1.0,1.0,0.5897862973847315,775.1239657890075
9,15plus,a,smk,5700,510,17000,3379503.1700000027,0.2865765091132839,1.0,0.3801347151298022,1.0,0.23005709001894478,168.66384534268673
10,15plus,f,alc,820,170,2000,149272.17300000004,0.9979197876865135,0.9634912249064276,1.0,1.0,1.0,549.3321250170317
11,15plus,f,smk,200,31,530,165857.97000000006,0.8652699113336468,1.0,0.8671421024157847,1.0,1.0,120.58510061349473
12,15plus,f,all,36000,12000,60000,16585797.0,0.055070934848653934,0.010000000000000004,0.009000000000000003,0.23,0.037327669270279834,217.05318110429062
13,15plus,m,all,80000,27000,133000,16068225.999999998,0.05134196581501897,0.20000000000000015,0.07100000000000002,0.23000000000000012,0.03806398385235557,497.8769902788274
14,15plus,m,alc,11000,2600,25000,1140844.0460000003,0.7231262790847739,1.0,1.0,1.0,0.5361124486247261,964.1983966667426
15,15plus,m,smk,6800,1200,17000,3213645.200000002,0.25670982907509465,1.0,0.35499999999999987,1.0,0.1903199192617777,211.59772086850148
16,18plus,a,dia,3400,500,9100,1738369.655999998,1.0,0.5571232894299202,0.5602582637278066,1.0,0.6122479826580686,195.5855584722657
17,18plus,f,dia,1200,210,3000,913395.3459999999,1.0,0.15711916162519918,0.16308562972212098,1.0,0.5864892101169078,131.37794113525078
18,18plus,m,dia,2200,350,5700,824974.3099999989,1.0,1.0,1.0,1.0,0.6407675894780294,266.6749707636354
19,25-34,f,all,10000,0,25000,4179154.9999999995,0.06949403974505852,0.012055400425396726,0.012513194123439281,0.23000000000000004,0.04499999999999999,239.28282152731833
20,25-34,m,all,23000,0,55000,4061384.9999999995,0.06498887221735929,0.20108411380316074,0.07873410644099268,0.22999999999999995,0.04499999999999999,566.3092762690561
21,35-44,f,all,7400,0,18000,2958495.0000000005,0.06949403974505852,0.01205540042539672,0.012513194123439278,0.22999999999999998,0.044999999999999984,250.12717614868365
22,35-44,m,all,17000,0,42000,3026122.0,0.06498887221735926,0.20108411380316074,0.07873410644099266,0.23,0.044999999999999984,561.7751035814155
23,45-54,f,all,5100,0,12000,1895074.0,0.05214221114554505,0.006697496279126386,0.006951828070776238,0.22999999999999993,0.025000192604615962,269.11877847514137
24,45-54,m,all,12000,0,28000,1872881.0,0.04745624327527853,0.19801176644069426,0.06266192501298742,0.23,0.0253435295675486,640.7241036670242
25,5-14,f,all,3700,0,9000,6706034.0,0.0,0.0,0.0,0.23,0.0,55.17419088540261
26,5-14,m,all,3600,0,8800,6732447.0,0.0,0.0,0.0,0.23,0.0,53.47238530061953
27,55-64,f,all,3000,0,7300,1117806.0,0.030452049412775475,0.0,0.0,0.22999999999999995,0.0,268.3828857601408
28,55-64,m,all,6200,0,15000,1018968.0,0.02485103032428451,0.19405051986338903,0.04193969989961251,0.22999999999999998,0.0,608.4587543475359
29,65plus,f,all,2700,0,6500,867763.0,0.030452049412775486,0.0,0.0,0.22999999999999998,0.0,311.14486328640425
30,65plus,m,all,4600,0,11000,639592.9999999999,0.024851030324284512,0.19405051986338906,0.04193969989961253,0.22999999999999998,0.0,719.2073709374557
31,all,a,all,133000,74000,191000,53005609.99999998,0.032795956050689704,0.06375746208750364,0.024339239167325895,0.23000000000000004,0.023218860041418255,250.91683691594164
32,all,a,hiv,43000,16000,82000,1230729.8399999994,0.8647822457932767,0.6317216335633824,0.6182452421889764,1.0,1.0,3493.8618210475843
33,all,a,und,46000,28000,68000,12191290.299999997,0.14259111326386825,0.2772063569021897,0.10582277898837343,1.0,0.10095156539747066,377.31855175329565
34,all,f,all,44000,18000,70000,26726427.000000037,0.034175737220691664,0.00620576667431078,0.005585190006879701,0.22999999999999965,0.02316468059871971,164.63105973724038
35,all,m,all,89000,36000,141000,26279183.000000004,0.03139269245927466,0.12228862670502358,0.043412462480283354,0.2299999999999998,0.02327396156113376,338.67110708883143
