,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,16000,8300,25000,20351587.0,0.0,0.0,0.0,0.2300000000000001,0.0,78.61794758315408
1,0-14,f,all,7900,2700,13000,10140630.0,0.0,0.0,0.0,0.23000000000000004,0.0,77.90443000089738
2,0-14,m,all,8600,2900,14000,10210957.0,0.0,0.0,0.0,0.23000000000000004,0.0,84.22325155222964
3,0-4,f,all,4200,0,10000,3434596.0,0.0,0.0,0.0,0.23,0.0,122.28512465512684
4,0-4,m,all,5000,0,12000,3478510.0,0.0,0.0,0.0,0.23,0.0,143.7397046436549
5,15-24,f,all,7900,0,19000,5567504.0,0.04087112315634834,0.009895282919691011,0.009089409313333253,0.23000000000000004,0.04499999999999997,141.8948239642037
6,15-24,m,all,18000,0,44000,5449277.000000001,0.03795729863219564,0.19810474795757407,0.0722326767634761,0.22999999999999995,0.04499999999999996,330.3190496647536
7,15plus,a,all,116000,59000,174000,32654023.0,0.05323600268181342,0.10349423622320596,0.039508645504414554,0.22999999999999998,0.03768999121486498,355.2395366414729
8,15plus,a,alc,10000,1500,26000,1290116.2189999993,0.0,0.0,1.0,0.0,0.0,775.1239657890081
9,15plus,a,smk,5700,510,17000,3379503.1700000004,0.0,1.0,0.0,0.0,0.0,168.66384534268684
10,15plus,f,alc,820,170,2000,149272.17299999998,0.0,0.0,1.0,0.0,0.0,549.3321250170319
11,15plus,f,smk,200,31,530,165857.9700000001,0.0,1.0,0.0,0.0,0.0,120.58510061349472
12,15plus,f,all,36000,12000,60000,16585796.999999998,0.05507093484865393,0.010000000000000007,0.009,0.23000000000000012,0.037327669270279834,217.05318110429062
13,15plus,m,all,80000,27000,133000,16068225.999999983,0.051341965815018945,0.20000000000000026,0.07100000000000004,0.23000000000000023,0.038063983852355585,497.8769902788278
14,15plus,m,alc,11000,2600,25000,1140844.0459999994,0.0,0.0,1.0,0.0,0.0,964.1983966667435
15,15plus,m,smk,6800,1200,17000,3213645.2000000007,0.0,1.0,0.0,0.0,0.0,211.59772086850157
16,18plus,a,dia,3400,500,9100,1738369.6559999972,1.0,0.0,0.0,0.0,0.0,195.58555847226577
17,18plus,f,dia,1200,210,3000,913395.3459999997,1.0,0.0,0.0,0.0,0.0,131.3779411352508
18,18plus,m,dia,2200,350,5700,824974.3099999977,1.0,0.0,0.0,0.0,0.0,266.67497076363577
19,25-34,f,all,10000,0,25000,4179155.0,0.06127002729145506,0.009895282919691011,0.00881440968279224,0.22999999999999998,0.044999999999999964,239.2828215273183
20,25-34,m,all,23000,0,55000,4061385.0000000005,0.05737986377363485,0.19810474795757413,0.06936330681582954,0.22999999999999995,0.04499999999999995,566.3092762690559
21,35-44,f,all,7400,0,18000,2958495.000000001,0.061270027291455045,0.009895282919691006,0.008814409682792236,0.22999999999999993,0.04499999999999996,250.12717614868365
22,35-44,m,all,17000,0,42000,3026121.9999999995,0.05737986377363486,0.19810474795757413,0.06936330681582956,0.22999999999999998,0.044999999999999964,561.7751035814156
23,45-54,f,all,5100,0,12000,1895074.0000000007,0.06296021866378473,0.010168253612817426,0.009057563470323068,0.22999999999999993,0.02500019260461594,269.11877847514126
24,45-54,m,all,12000,0,28000,1872880.9999999995,0.05893556804354458,0.203475837779307,0.07124391066344665,0.23000000000000004,0.025343529567548585,640.7241036670245
25,5-14,f,all,3700,0,9000,6706034.0,0.0,0.0,0.0,0.23,0.0,55.17419088540261
26,5-14,m,all,3600,0,8800,6732447.0,0.0,0.0,0.0,0.23,0.0,53.47238530061953
27,55-64,f,all,3000,0,7300,1117805.9999999995,0.06507299450264885,0.010509472894016663,0.009361510973448312,0.23000000000000015,0.0,268.382885760141
28,55-64,m,all,6200,0,15000,1018968.0,0.06094137255958461,0.2104009047273546,0.07366861551474307,0.22999999999999995,0.0,608.4587543475359
29,65plus,f,all,2700,0,6500,867762.9999999999,0.06507299450264883,0.010509472894016662,0.009361510973448306,0.23,0.0,311.14486328640425
30,65plus,m,all,4600,0,11000,639593.0000000006,0.06094137255958455,0.21040090472735445,0.07366861551474302,0.22999999999999987,0.0,719.2073709374549
31,all,a,all,133000,74000,191000,53005610.000000075,0.03279595605068963,0.06375746208750349,0.024339239167325825,0.22999999999999954,0.023218860041418203,250.9168369159412
32,all,a,hiv,43000,16000,82000,1230729.839999999,0.0,0.0,0.0,0.0,1.0,3493.8618210475856
33,all,a,und,46000,28000,68000,12191290.299999993,0.0,0.0,0.0,1.0,0.0,377.31855175329576
34,all,f,all,44000,18000,70000,26726427.00000001,0.034175737220691685,0.006205766674310787,0.0055851900068797046,0.22999999999999984,0.02316468059871973,164.63105973724052
35,all,m,all,89000,36000,141000,26279183.000000007,0.03139269245927461,0.12228862670502351,0.04341246248028331,0.23,0.023273961561133743,338.6711070888314
