,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,16000,8300,25000,20351587.0,0.0,0.0,0.0,0.2300000000000001,0.0,78.61794758315408
1,0-14,f,all,7900,2700,13000,10140630.0,0.0,0.0,0.0,0.23000000000000004,0.0,77.90443000089738
2,0-14,m,all,8600,2900,14000,10210957.0,0.0,0.0,0.0,0.23000000000000004,0.0,84.22325155222964
3,0-4,f,all,4200,0,10000,3434596.0,0.0,0.0,0.0,0.23,0.0,122.28512465512684
4,0-4,m,all,5000,0,12000,3478510.0,0.0,0.0,0.0,0.23,0.0,143.7397046436549
5,15-24,f,all,7900,0,19000,5567493.543882401,0.041357155371485,0.009998140715144958,0.00899813883707945,0.229998682864918,0.044999024035837484,141.89509045197858
6,15-24,m,all,18000,0,44000,5449277.000000003,0.03836752435231307,0.19999999999999984,0.07099999999999998,0.22999999999999993,0.04499999999999995,330.31904966475355
7,15plus,a,all,116000,59000,174000,32653915.017750967,0.05323404354060995,0.10349169613793592,0.039505724706612455,0.22999885392350208,0.03768935639369398,355.24071137240765
8,15plus,a,alc,10000,1500,26000,1290016.5772843878,0.05172984104146452,0.1779634124375234,1.0,0.2299739252499919,0.03796249851804328,775.1838368659562
9,15plus,a,smk,5700,510,17000,3379409.0507310657,0.05150988047120141,1.0,0.0679336975039585,0.22999079862046004,0.03802156805362569,168.66854276687585
10,15plus,f,alc,820,170,2000,149186.65048979467,0.05478570403149265,0.009490129600306457,1.0,0.22981680347582703,0.0371828380099553,549.6470343075993
11,15plus,f,smk,200,31,530,165773.67750599675,0.05482125496707322,1.0,0.008540563671410128,0.2298365110298213,0.037197052609192344,120.64641564868772
12,15plus,f,all,36000,12000,60000,16585704.106078006,0.05506794925991075,0.009994973770528513,0.008994894008456576,0.2299981688279999,0.0373263831184918,217.05439678504464
13,15plus,m,all,80000,27000,133000,16068210.911672944,0.05134107500877009,0.1999995762372328,0.07099918796596226,0.2299995610832064,0.03806401959509259,497.8774577939044
14,15plus,m,alc,11000,2600,25000,1140829.9267945932,0.05133022497851731,0.1999947110326816,1.0,0.22999447210860424,0.03806445494203682,964.2103298347777
15,15plus,m,smk,6800,1200,17000,3213635.373225069,0.05133906497285526,1.0,0.07099746083444067,0.22999875746405093,0.03806410024583487,211.59836789995893
16,18plus,a,dia,3400,500,9100,1738299.933826332,1.0,0.10013977040388274,0.038389435094140965,0.2299865513600242,0.036742778332192715,195.59340329237358
17,18plus,f,dia,1200,210,3000,913340.712153397,1.0,0.00995019812481466,0.008948791585030003,0.22998212587903372,0.03636123332895794,131.38579984798247
18,18plus,m,dia,2200,350,5700,824959.2216729387,1.0,0.19999174612594045,0.07098418354041758,0.22999145096215307,0.03716519992082138,266.67984819160023
19,25-34,f,all,10000,0,25000,4179145.1769212484,0.0619986689804994,0.00999767300547041,0.008997670654970884,0.22999838346282042,0.04499898092283462,239.28338396147657
20,25-34,m,all,23000,0,55000,4061385.000000002,0.057999999999999885,0.19999999999999987,0.07099999999999997,0.22999999999999998,0.04499999999999998,566.3092762690558
21,35-44,f,all,7400,0,18000,2958480.461701921,0.061998495979966886,0.009995135031214901,0.008995130117105014,0.22999897308767286,0.044996864618672805,250.1284053011123
22,35-44,m,all,17000,0,42000,3026121.999999998,0.05799999999999995,0.2,0.07100000000000008,0.2300000000000002,0.045000000000000005,561.7751035814158
23,45-54,f,all,5100,0,12000,1895059.4259025897,0.06199489677276166,0.009992386330349864,0.008992378639774461,0.2300000000000001,0.02499813483584395,269.1208481533999
24,45-54,m,all,12000,0,28000,1872881.0000000007,0.0579999999999999,0.19999999999999996,0.07099999999999997,0.22999999999999995,0.02534352956754859,640.724103667024
25,5-14,f,all,3700,0,9000,6706034.0,0.0,0.0,0.0,0.23,0.0,55.17419088540261
26,5-14,m,all,3600,0,8800,6732447.0,0.0,0.0,0.0,0.23,0.0,53.47238530061953
27,55-64,f,all,3000,0,7300,1117799.76264252,0.06199476593079389,0.009994475769174796,0.008994470189143657,0.23,0.0,268.3843833449999
28,55-64,m,all,6200,0,15000,1018968.0000000005,0.05799999999999984,0.19999999999999996,0.07099999999999992,0.22999999999999995,0.0,608.4587543475357
29,65plus,f,all,2700,0,6500,867725.7350273307,0.06197867467995524,0.009967396501209192,0.008965936038388389,0.22998473677597883,0.0,311.15822557861077
30,65plus,m,all,4600,0,11000,639577.9116729387,0.05797777721239105,0.19998935374503185,0.07097959914820616,0.22998897302818147,0.0,719.2243378086365
31,all,a,all,133000,74000,191000,53005502.01775087,0.03279470748610583,0.0637558163226026,0.024337408913745927,0.22999929396226565,0.02321843948089134,250.9173480810728
32,all,a,hiv,43000,16000,82000,1230705.0407534123,0.05189705658826774,0.10440392047533227,0.03979203040675776,0.22999422141589523,1.0,3493.932223896336
33,all,a,und,46000,28000,68000,12191228.040198147,0.03279289056786264,0.06375346141340951,0.024334724519748083,1.0,0.02321792740709804,377.32047869438713
34,all,f,all,44000,18000,70000,26726334.106077943,0.03417381181153799,0.006202634332416636,0.005582009485388703,0.22999886361979846,0.02316383321768853,164.63163195282283
35,all,m,all,89000,36000,141000,26279167.91167293,0.031392136328125535,0.12228832297987662,0.04341195012829339,0.22999973162743864,0.02327397492400526,338.6713015386881
