,Age,Sex,N
0,0,m,1399761.0
1,0,f,1343461.0
2,1,m,1428582.0
3,1,f,1371682.0
4,2,m,1473832.0
5,2,f,1415245.0
6,3,m,1489697.0
7,3,f,1430656.0
8,4,m,1472953.0
9,4,f,1414745.0
10,5,m,1489767.0
11,5,f,1430979.0
12,6,m,1512854.0
13,6,f,1453352.0
14,7,m,1496938.0
15,7,f,1438416.0
16,8,m,1492146.0
17,8,f,1434078.0
18,9,m,1508559.0
19,9,f,1450090.0
20,10,m,1520589.0
21,10,f,1462025.0
22,11,m,1524301.0
23,11,f,1465888.0
24,12,m,1529145.0
25,12,f,1471006.0
26,13,m,1542706.0
27,13,f,1484774.0
28,14,m,1566947.0
29,14,f,1508864.0
30,15,m,1592024.0
31,15,f,1533844.0
32,16,m,1606661.0
33,16,f,1549262.0
34,17,m,1607243.0
35,17,f,1551789.0
36,18,m,1625365.0
37,18,f,1571534.0
38,19,m,1662586.0
39,19,f,1609867.0
40,20,m,1689952.0
41,20,f,1639120.0
42,21,m,1710588.0
43,21,f,1662027.0
44,22,m,1730585.0
45,22,f,1684407.0
46,23,m,1740377.0
47,23,f,1697043.0
48,24,m,1738152.0
49,24,f,1697762.0
50,25,m,1736296.0
51,25,f,1699039.0
52,26,m,1728746.0
53,26,f,1694818.0
54,27,m,1718303.0
55,27,f,1687155.0
56,28,m,1709427.0
57,28,f,1681534.0
58,29,m,1710662.0
59,29,f,1686484.0
60,30,m,1722041.0
61,30,f,1701271.0
62,31,m,1731636.0
63,31,f,1714711.0
64,32,m,1739978.0
65,32,f,1727770.0
66,33,m,1748834.0
67,33,f,1741123.0
68,34,m,1754947.0
69,34,f,1751428.0
70,35,m,1756954.0
71,35,f,1758342.0
72,36,m,1757282.0
73,36,f,1764016.0
74,37,m,1750176.0
75,37,f,1762794.0
76,38,m,1734428.0
77,38,f,1753995.0
78,39,m,1709057.0
79,39,f,1735912.0
80,40,m,1675003.0
81,40,f,1709185.0
82,41,m,1634278.0
83,41,f,1675738.0
84,42,m,1591503.0
85,42,f,1638860.0
86,43,m,1547845.0
87,43,f,1599781.0
88,44,m,1503534.0
89,44,f,1559788.0
90,45,m,1459574.0
91,45,f,1520242.0
92,46,m,1417499.0
93,46,f,1482699.0
94,47,m,1385357.0
95,47,f,1455183.0
96,48,m,1355991.0
97,48,f,1430089.0
98,49,m,1322349.0
99,49,f,1400593.0
100,50,m,1290987.0
101,50,f,1373528.0
102,51,m,1260095.0
103,51,f,1346927.0
104,52,m,1231313.0
105,52,f,1322650.0
106,53,m,1210551.0
107,53,f,1307014.0
108,54,m,1195122.0
109,54,f,1297329.0
110,55,m,1177661.0
111,55,f,1285640.0
112,56,m,1157368.0
113,56,f,1271285.0
114,57,m,1132484.0
115,57,f,1252175.0
116,58,m,1099239.0
117,58,f,1223880.0
118,59,m,1060104.0
119,59,f,1189086.0
120,60,m,1017122.0
121,60,f,1149771.0
122,61,m,971742.0
123,61,f,1107767.0
124,62,m,925800.0
125,62,f,1065146.0
126,63,m,879260.0
127,63,f,1021552.0
128,64,m,832869.0
129,64,f,977545.0
130,65,m,787321.0
131,65,f,933803.0
132,66,m,742985.0
133,66,f,890942.0
134,67,m,699620.0
135,67,f,848497.0
136,68,m,657889.0
137,68,f,807724.0
138,69,m,618077.0
139,69,f,769563.0
140,70,m,578475.0
141,70,f,731519.0
142,71,m,538622.0
143,71,f,690308.0
144,72,m,490004.0
145,72,f,633985.0
146,73,m,439779.0
147,73,f,575008.0
148,74,m,398118.0
149,74,f,528417.0
150,75,m,365744.0
151,75,f,485877.0
152,76,m,339524.0
153,76,f,451034.0
154,77,m,312159.0
155,77,f,421976.0
156,78,m,285459.0
157,78,f,393832.0
158,79,m,259657.0
159,79,f,366477.0
160,80,m,232390.0
161,80,f,336988.0
162,81,m,204672.0
163,81,f,306939.0
164,82,m,177164.0
165,82,f,276385.0
166,83,m,149624.0
167,83,f,243750.0
168,84,m,123713.0
169,84,f,211168.0
170,85,m,99588.0
171,85,f,179415.0
172,86,m,78612.0
173,86,f,149941.0
174,87,m,61264.0
175,87,f,123448.0
176,88,m,46523.0
177,88,f,99358.0
178,89,m,34245.0
179,89,f,78025.0
180,90,m,24510.0
181,90,f,59775.0
182,91,m,17173.0
183,91,f,44844.0
184,92,m,11806.0
185,92,f,32883.0
186,93,m,7926.0
187,93,f,23377.0
188,94,m,5175.0
189,94,f,16059.000000000002
190,95,m,3266.0
191,95,f,10678.0
192,96,m,1980.0
193,96,f,6897.0
194,97,m,1155.0
195,97,f,4319.0
196,98,m,646.0
197,98,f,2607.0
198,99,m,347.0
199,99,f,1520.0
200,100,m,357.0
201,100,f,1833.0
