,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,5100,4300,5900,44024038.0,0.0,0.0,0.0,0.024999999999999998,0.0,11.584580224103933
1,0-14,f,all,2500,2000,3000,21575261.0,0.0,0.0,0.0,0.025,0.0,11.58734533964618
2,0-14,m,all,2600,2100,3200,22448777.0,0.0,0.0,0.0,0.025,0.0,11.58192270340607
3,0-4,f,all,1100,570,1700,6975789.0,0.0,0.0,0.0,0.025,0.0,15.768825576576356
4,0-4,m,all,1300,680,2000,7264824.999999999,0.0,0.0,0.0,0.02500000000000001,0.0,17.894443431190705
5,15-24,f,all,5900,3000,8800,16196654.999999996,0.06210375660900355,0.09500000000000003,0.013313898138660499,0.025000000000000005,0.005000000000000001,36.4272746440546
6,15-24,m,all,11000,5800,17000,16703533.0,0.055557898439809135,0.17,0.05770478533556933,0.024999999999999994,0.0049999999999999975,65.8543315357296
7,15plus,a,all,99000,83000,114000,170302190.00000024,0.07805307500743226,0.13148331783049863,0.04178154460021913,0.024999999999999977,0.0033802982216494053,58.131959430468775
8,15plus,a,alc,9600,3600,18000,7115488.547000002,0.9826608290214291,1.0,1.0,0.48616044786756846,0.07966772709449821,134.91694824029344
9,15plus,a,smk,7300,2000,16000,22391896.974999998,0.593634814631421,1.0,0.317770689769798,0.1901381894867352,0.02570895135158597,32.60107889988182
10,15plus,f,alc,1300,540,2400,1399354.7360000007,0.9897259184275746,1.0,1.0,1.0,0.19926944007314504,92.89996071446457
11,15plus,f,smk,1800,600,3700,8308668.745000001,0.8672575274271571,1.0,0.16842105263157903,0.2631578947368421,0.034619989534797606,21.664120393332638
12,15plus,f,all,32000,25000,39000,87459671.00000003,0.0823894651055799,0.09499999999999997,0.016000000000000004,0.024999999999999994,0.0032888990058057713,36.588292219850665
13,15plus,m,all,67000,53000,80000,82842518.99999999,0.07347500017472922,0.17000000000000018,0.06899999999999999,0.025000000000000005,0.0034767914891627094,80.87634322176999
14,15plus,m,alc,9900,4500,17000,5716133.810999999,0.9809312392938884,1.0,1.0,0.3603684642304944,0.050388282451633466,173.19398613357623
15,15plus,m,smk,6000,2100,12000,14083228.230000012,0.4322058833807596,1.0,0.40588235294117603,0.14705882352941166,0.020451714642133564,42.603868246762026
16,18plus,a,dia,4300,1600,8400,13292609.61,1.0,1.0,0.5260149872473014,0.3025391020266337,0.0397565331793416,32.34880227555257
17,18plus,f,dia,1500,540,2900,7205755.512000001,1.0,1.0,0.19220436344074182,0.28735632183908044,0.03670282034403832,20.816692954708174
18,18plus,m,dia,2700,930,5400,6086854.098000007,1.0,1.0,0.9211875515524998,0.32051282051282015,0.04337158748174083,44.3578892565727
19,25-34,f,all,6600,3400,9900,17085333.0,0.08700000000000001,0.09499999999999999,0.017407689672731687,0.025000000000000005,0.004999999999999999,38.62962460257579
20,25-34,m,all,16000,8100,24000,17300870.000000004,0.07800000000000003,0.16999999999999998,0.07185262902109504,0.024999999999999998,0.0049999999999999975,92.48089835944664
21,35-44,f,all,6000,3100,8900,16958411.0,0.08700000000000001,0.095,0.017407689672731683,0.024999999999999998,0.004999999999999999,35.3806733425673
22,35-44,m,all,13000,6600,19000,16660060.000000002,0.07800000000000006,0.17000000000000004,0.07185262902109506,0.025,0.004999999999999999,78.03093146123122
23,45-54,f,all,5100,2600,7500,13936254.0,0.08700000000000002,0.09499999999999999,0.016502326436305687,0.024999999999999998,0.0026150520792746737,36.595199829165
24,45-54,m,all,11000,5400,16000,13128838.0,0.07800000000000006,0.17000000000000004,0.07185262902109506,0.025,0.0026433298971317945,83.78502347275517
25,5-14,f,all,1300,690,2000,14599472.0,0.0,0.0,0.0,0.024999999999999998,0.0,8.904431612321323
26,5-14,m,all,1300,670,2000,15183952.0,0.0,0.0,0.0,0.025,0.0,8.561670900961753
27,55-64,f,all,4200,2100,6200,11543847.000000002,0.08700000000000001,0.09499999999999997,0.015509612090914605,0.024999999999999994,0.0,36.383018589903344
28,55-64,m,all,8600,4400,13000,10253649.0,0.07800000000000004,0.17000000000000004,0.07185262902109506,0.025,0.0,83.8725803857729
29,65plus,f,all,4300,2200,6400,11739171.000000002,0.087,0.09500000000000003,0.015509612090914603,0.024999999999999998,0.0,36.62950305434685
30,65plus,m,all,7200,3700,11000,8795569.0,0.07800000000000008,0.17000000000000007,0.07185262902109504,0.025000000000000005,0.0,81.85939988646557
31,all,a,all,104000,89000,119000,214326227.9999999,0.06202045234519783,0.10447576661032829,0.033199336419992447,0.02499999999999999,0.0026859624012045796,48.524159161705605
32,all,a,hiv,8100,2200,18000,575672.19,0.9180017450556366,1.0,0.9847180557852271,1.0,1.0,1407.05077311447
33,all,a,und,5400,4600,6200,5358155.6999999955,0.7505444783920715,0.7945933243410611,0.6456081705139844,1.0,0.10743849604818323,100.78094595123476
34,all,f,all,35000,28000,41000,109034932.00000003,0.06608666947212843,0.07620189780097261,0.012834003840163814,0.024999999999999984,0.0026381089044013885,32.09980449201362
35,all,m,all,69000,56000,83000,105291295.99999993,0.057809660714975064,0.13375491389145805,0.05428875916770939,0.02500000000000004,0.0027355173308912465,65.5324823810698
