,age_group,sex,risk_factor,M,L,U,N,IncR
0,0-14,a,all,5100,4300,5900,44024038.0,11.584580224103933
1,0-14,f,all,2500,2000,3000,21575261.0,11.58734533964618
2,0-14,m,all,2600,2100,3200,22448777.0,11.58192270340607
3,0-4,f,all,1100,570,1700,6975789.0,15.768825576576356
4,0-4,m,all,1300,680,2000,7264824.999999999,17.894443431190705
5,15-24,f,all,5900,3000,8800,16196655.000000004,36.427274644054584
6,15-24,m,all,11000,5800,17000,16703532.999999998,65.85433153572961
7,15plus,a,all,99000,83000,114000,170302189.9999998,58.13195943046893
8,15plus,f,all,32000,25000,39000,87459670.99999993,36.588292219850715
9,15plus,m,all,67000,53000,80000,82842519.0000001,80.87634322176987
10,25-34,f,all,6600,3400,9900,17085332.999999993,38.6296246025758
11,25-34,m,all,16000,8100,24000,17300870.000000004,92.48089835944664
12,35-44,f,all,6000,3100,8900,16958411.0,35.3806733425673
13,35-44,m,all,13000,6600,19000,16660060.0,78.03093146123123
14,45-54,f,all,5100,2600,7500,13936253.999999994,36.59519982916501
15,45-54,m,all,11000,5400,16000,13128838.000000004,83.78502347275514
16,5-14,f,all,1300,690,2000,14599472.0,8.904431612321323
17,5-14,m,all,1300,670,2000,15183952.0,8.561670900961753
18,55-64,f,all,4200,2100,6200,11543847.000000007,36.38301858990332
19,55-64,m,all,8600,4400,13000,10253649.0,83.8725803857729
20,65plus,f,all,4300,2200,6400,11739170.999999993,36.62950305434688
21,65plus,m,all,7200,3700,11000,8795568.999999996,81.8593998864656
22,all,a,all,104000,89000,119000,214326227.99999997,48.52415916170559
23,all,f,all,35000,28000,41000,109034931.99999991,32.09980449201365
24,all,m,all,69000,56000,83000,105291295.99999999,65.53248238106976
