,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,5100,4300,5900,44024038.0,0.0,0.0,0.0,0.024999999999999998,0.0,11.584580224103933
1,0-14,f,all,2500,2000,3000,21575261.0,0.0,0.0,0.0,0.025,0.0,11.58734533964618
2,0-14,m,all,2600,2100,3200,22448777.0,0.0,0.0,0.0,0.025,0.0,11.58192270340607
3,0-4,f,all,1100,570,1700,6975789.0,0.0,0.0,0.0,0.025,0.0,15.768825576576356
4,0-4,m,all,1300,680,2000,7264824.999999999,0.0,0.0,0.0,0.02500000000000001,0.0,17.894443431190705
5,15-24,f,all,5900,3000,8800,16196650.1020052,0.0621036511821188,0.09499983872869218,0.015999702430635344,0.024999705152306356,0.004999699104148543,36.427285659949895
6,15-24,m,all,11000,5800,17000,16703524.995886235,0.05555744587533389,0.17000000000000004,0.06899955387680654,0.024999532792573925,0.004999523208831853,65.85436309227599
7,15plus,a,all,99000,83000,114000,170302101.30145708,0.07805270192348338,0.1314831475997569,0.041781077875130836,0.024999539856853884,0.0033799507239088145,58.13198970737126
8,15plus,a,alc,9600,3600,18000,7115405.356774598,0.07521989855258382,0.15524685010565176,1.0,0.024989741591464287,0.0034315209236539658,134.91852563058563
9,15plus,a,smk,7300,2000,16000,22391856.321968235,0.07678174506840878,1.0,0.04933241143479433,0.024998592391325444,0.003406111194190947,32.60113808803831
10,15plus,f,alc,1300,540,2400,1399316.9610045338,0.0823749564893514,0.09498444379830488,1.0,0.024978620157930783,0.0032718660868682535,92.90246857772404
11,15plus,f,smk,1800,600,3700,8308641.298402547,0.08238792520016784,1.0,0.015997001009551873,0.024997611283619804,0.0032870287656703683,21.66419195814935
12,15plus,f,all,32000,25000,39000,87459631.13508861,0.08238921104686248,0.09499972948169842,0.015999575379447614,0.024999634633220857,0.0032886265649261,36.58830889713377
13,15plus,m,all,67000,53000,80000,82842470.16636834,0.07347450081983467,0.1699999407946568,0.06899949246190673,0.024999439798199432,0.003476364764223041,80.87639089641738
14,15plus,m,alc,9900,4500,17000,5716088.3957700655,0.07346831718528062,0.16999928243668766,1.0,0.02499246415442985,0.0034706049450252885,173.19536218729667
15,15plus,m,smk,6000,2100,12000,14083215.02356574,0.07347428014004702,1.0,0.06899922524789762,0.024999171213134705,0.0034763659749256328,42.60390819823509
16,18plus,a,dia,4300,1600,8400,13292539.1498255,1.0,0.12934216588290978,0.04026469759196632,0.024995442485840187,0.003276374069105447,32.348973747852
17,18plus,f,dia,1500,540,2900,7205730.00766956,1.0,0.09499824682290618,0.015996807215212263,0.024997508472116944,0.0031912273067434757,20.816766634379107
18,18plus,m,dia,2700,930,5400,6086809.142155959,1.0,0.16999943020186042,0.06899368544530862,0.024992996715164115,0.003377173119359581,44.35821687426287
19,25-34,f,all,6600,3400,9900,17085327.063359346,0.08699985622984,0.09499984300959544,0.015999658089401195,0.024999661216632277,0.0049996542672298685,38.6296380252161
20,25-34,m,all,16000,8100,24000,17300858.360839706,0.07799937972408275,0.17000000000000007,0.06899937366932862,0.02499934406830873,0.004999330613299669,92.4809605760129
21,35-44,f,all,6000,3100,8900,16958405.10746092,0.08699985622984012,0.0949998430095955,0.01599965808940121,0.0249996612166323,0.004999654267229873,35.38068563629416
22,35-44,m,all,13000,6600,19000,16660048.79194463,0.0779993797240827,0.1700000000000001,0.0689993736693286,0.024999344068308747,0.004999330613299672,78.03098395657571
23,45-54,f,all,5100,2600,7500,13936246.768484006,0.08699961697112535,0.09499961275415299,0.015999489402573938,0.02499983124197209,0.0026145345364014957,36.595218818407744
24,45-54,m,all,11000,5400,16000,13128833.330596989,0.07799967208132859,0.16999999999999996,0.06899966888038714,0.02499965323133994,0.002642975177094785,83.78505327175033
25,5-14,f,all,1300,690,2000,14599472.0,0.0,0.0,0.0,0.024999999999999998,0.0,8.904431612321323
26,5-14,m,all,1300,670,2000,15183952.0,0.0,0.0,0.0,0.025,0.0,8.561670900961753
27,55-64,f,all,4200,2100,6200,11543846.999999989,0.08700000000000005,0.09500000000000006,0.016000000000000014,0.02500000000000003,0.0,36.383018589903386
28,55-64,m,all,8600,4400,13000,10253649.000000004,0.07799999999999993,0.16999999999999998,0.06899999999999995,0.024999999999999998,0.0,83.87258038577288
29,65plus,f,all,4300,2200,6400,11739155.093779035,0.08699912957920466,0.09499912207625986,0.01599884473752052,0.024998867550948736,0.0,36.62955268628073
30,65plus,m,all,7200,3700,11000,8795555.687100928,0.07799904534678961,0.16999944236418016,0.06899897949512411,0.024998661166247483,0.0,81.85952378835051
31,all,a,all,104000,89000,119000,214326139.3014574,0.06202014926013792,0.10447562016909792,0.0331989620116589,0.02499963437336692,0.0026856859944994023,48.524179243354105
32,all,a,hiv,8100,2200,18000,575612.7105770521,0.07566082156072787,0.13250081361217939,0.042418560107148826,0.02490741420084813,1.0,1407.1961669991174
33,all,a,und,5400,4600,6200,5358075.119191742,0.06200974984844226,0.10447126563661306,0.033185824615900625,1.0,0.0026757788725773357,100.78246160935838
34,all,f,all,35000,28000,41000,109034892.13508873,0.06608645972467257,0.07620167393854584,0.012833662083792871,0.02499970693011101,0.0026378901347757656,32.099816228218735
35,all,m,all,69000,56000,83000,105291247.16636832,0.057809260560266036,0.13375485049876149,0.05428835301701958,0.024999559236857795,0.002735181242677408,65.53251277475577
