,age_group,sex,risk_factor,M,L,U,N,Dia,Smk,Alc,Und,HIV,IncR
0,0-14,a,all,5100,4300,5900,44024038.0,0.0,0.0,0.0,0.024999999999999998,0.0,11.584580224103933
1,0-14,f,all,2500,2000,3000,21575261.0,0.0,0.0,0.0,0.025,0.0,11.58734533964618
2,0-14,m,all,2600,2100,3200,22448777.0,0.0,0.0,0.0,0.025,0.0,11.58192270340607
3,0-4,f,all,1100,570,1700,6975789.0,0.0,0.0,0.0,0.025,0.0,15.768825576576356
4,0-4,m,all,1300,680,2000,7264824.999999999,0.0,0.0,0.0,0.02500000000000001,0.0,17.894443431190705
5,15-24,f,all,5900,3000,8800,16196655.000000004,0.06198828874659955,0.09483271304168267,0.016379843357574055,0.024999999999999994,0.004999999999999998,36.427274644054584
6,15-24,m,all,11000,5800,17000,16703532.999999998,0.05546543606110475,0.16973346447663437,0.07058773756252545,0.025000000000000005,0.005,65.85433153572961
7,15plus,a,all,99000,83000,114000,170302189.9999998,0.07805307500743246,0.13148331783049894,0.04178154460021926,0.02500000000000003,0.003380298221649414,58.13195943046893
8,15plus,a,alc,9600,3600,18000,7115488.547000006,0.0,0.0,1.0,0.0,0.0,134.91694824029338
9,15plus,a,smk,7300,2000,16000,22391896.97499999,0.0,1.0,0.0,0.0,0.0,32.601078899881834
10,15plus,f,alc,1300,540,2400,1399354.735999999,0.0,0.0,1.0,0.0,0.0,92.89996071446467
11,15plus,f,smk,1800,600,3700,8308668.744999996,0.0,1.0,0.0,0.0,0.0,21.66412039333265
12,15plus,f,all,32000,25000,39000,87459670.99999993,0.08238946510557996,0.09500000000000004,0.016000000000000004,0.025000000000000026,0.0032888990058057756,36.588292219850715
13,15plus,m,all,67000,53000,80000,82842519.0000001,0.07347500017472898,0.16999999999999976,0.06899999999999999,0.02499999999999997,0.003476791489162705,80.87634322176987
14,15plus,m,alc,9900,4500,17000,5716133.811000006,0.0,0.0,1.0,0.0,0.0,173.193986133576
15,15plus,m,smk,6000,2100,12000,14083228.229999999,0.0,1.0,0.0,0.0,0.0,42.60386824676206
16,18plus,a,dia,4300,1600,8400,13292609.609999998,1.0,0.0,0.0,0.0,0.0,32.34880227555258
17,18plus,f,dia,1500,540,2900,7205755.511999997,1.0,0.0,0.0,0.0,0.0,20.816692954708184
18,18plus,m,dia,2700,930,5400,6086854.0979999965,1.0,0.0,0.0,0.0,0.0,44.357889256572776
19,25-34,f,all,6600,3400,9900,17085332.999999993,0.08683824321461923,0.09483271304168274,0.01587929137268005,0.025000000000000015,0.005000000000000002,38.6296246025758
20,25-34,m,all,16000,8100,24000,17300870.000000004,0.07787018829470747,0.1697334644766343,0.06846435083288607,0.02499999999999999,0.004999999999999999,92.48089835944664
21,35-44,f,all,6000,3100,8900,16958411.0,0.08683824321461919,0.0948327130416827,0.01587929137268004,0.025000000000000005,0.005,35.3806733425673
22,35-44,m,all,13000,6600,19000,16660060.0,0.07787018829470749,0.16973346447663434,0.0684643508328861,0.025000000000000005,0.005,78.03093146123123
23,45-54,f,all,5100,2600,7500,13936253.999999994,0.08705175320182967,0.09506587910537913,0.015918333932413927,0.02500000000000001,0.0026150520792746755,36.59519982916501
24,45-54,m,all,11000,5400,16000,13128838.000000004,0.07805937834074751,0.17014584157064286,0.06863068886249447,0.024999999999999994,0.002643329897131794,83.78502347275514
25,5-14,f,all,1300,690,2000,14599472.0,0.0,0.0,0.0,0.024999999999999998,0.0,8.904431612321323
26,5-14,m,all,1300,670,2000,15183952.0,0.0,0.0,0.0,0.025,0.0,8.561670900961753
27,55-64,f,all,4200,2100,6200,11543847.000000007,0.08728586302500375,0.09532154145942327,0.015961143390064974,0.024999999999999984,0.0,36.38301858990332
28,55-64,m,all,8600,4400,13000,10253649.0,0.07827158101787608,0.1706083792419778,0.06881725985779788,0.025,0.0,83.8725803857729
29,65plus,f,all,4300,2200,6400,11739170.999999993,0.08728586302500387,0.0953215414594234,0.015961143390065,0.025000000000000012,0.0,36.62950305434688
30,65plus,m,all,7200,3700,11000,8795568.999999996,0.07827158101787614,0.1706083792419779,0.06881725985779794,0.025000000000000015,0.0,81.8593998864656
31,all,a,all,104000,89000,119000,214326227.99999997,0.062020452345197805,0.10447576661032822,0.03319933641999245,0.02500000000000001,0.0026859624012045787,48.52415916170559
32,all,a,hiv,8100,2200,18000,575672.19,0.0,0.0,0.0,0.0,1.0,1407.05077311447
33,all,a,und,5400,4600,6200,5358155.700000001,0.0,0.0,0.0,1.0,0.0,100.78094595123466
34,all,f,all,35000,28000,41000,109034931.99999991,0.06608666947212846,0.07620189780097265,0.012834003840163814,0.025000000000000033,0.002638108904401391,32.09980449201365
35,all,m,all,69000,56000,83000,105291295.99999999,0.05780966071497493,0.13375491389145786,0.05428875916770943,0.025000000000000015,0.0027355173308912456,65.53248238106976
