,Age,Sex,N,Und,Alc,Smk,HIV,Dia
49,12,m,38228.625,1.0,0.0,0.0,0.0,0.0
50,12,f,1434230.8499999999,0.0,0.0,0.0,0.0,0.0
51,12,f,36775.15,1.0,0.0,0.0,0.0,0.0
52,13,m,1504138.3499999999,0.0,0.0,0.0,0.0,0.0
53,13,m,38567.65,1.0,0.0,0.0,0.0,0.0
54,13,f,1447654.65,0.0,0.0,0.0,0.0,0.0
55,13,f,37119.35,1.0,0.0,0.0,0.0,0.0
56,14,m,1527773.325,0.0,0.0,0.0,0.0,0.0
57,14,m,39173.675,1.0,0.0,0.0,0.0,0.0
58,14,f,1471142.4,0.0,0.0,0.0,0.0,0.0
59,14,f,37721.6,1.0,0.0,0.0,0.0,0.0
60,15,f,1315330.766334085,0.0,0.0,0.0,0.0,0.0
61,15,f,27039.32576320819,0.0,1.0,0.0,0.0,0.0
62,16,f,1328552.2997855565,0.0,0.0,0.0,0.0,0.0
63,16,f,27311.12154205998,0.0,1.0,0.0,0.0,0.0
64,17,f,1330719.3003713568,0.0,0.0,0.0,0.0,0.0
65,17,f,27355.668690403374,0.0,1.0,0.0,0.0,0.0
66,50,f,1066450.3395750446,0.0,0.0,0.0,0.0,0.0
67,50,f,21923.07735826918,0.0,1.0,0.0,0.0,0.0
68,51,f,1045796.4865170539,0.0,0.0,0.0,0.0,0.0
69,51,f,21498.494982950062,0.0,1.0,0.0,0.0,0.0
70,52,f,1026947.0601538029,0.0,0.0,0.0,0.0,0.0
71,52,f,21111.006304869454,0.0,1.0,0.0,0.0,0.0
72,53,f,1014806.7779683685,0.0,0.0,0.0,0.0,0.0
73,53,f,20861.437866822398,0.0,1.0,0.0,0.0,0.0
74,54,f,1007287.039354533,0.0,0.0,0.0,0.0,0.0
75,54,f,20706.854193089617,0.0,1.0,0.0,0.0,0.0
76,55,f,998211.332110638,0.0,0.0,0.0,0.0,0.0
77,55,f,20520.28438800315,0.0,1.0,0.0,0.0,0.0
78,56,f,987065.6586153762,0.0,0.0,0.0,0.0,0.0
79,56,f,20291.162174638765,0.0,1.0,0.0,0.0,0.0
80,57,f,972228.0535652577,0.0,0.0,0.0,0.0,0.0
81,57,f,19986.14472445462,0.0,1.0,0.0,0.0,0.0
82,58,f,950258.9256273665,0.0,0.0,0.0,0.0,0.0
83,58,f,19534.524172232734,0.0,1.0,0.0,0.0,0.0
84,59,f,923243.7696821116,0.0,0.0,0.0,0.0,0.0
85,59,f,18979.17214911881,0.0,1.0,0.0,0.0,0.0
86,60,f,892718.3671417971,0.0,0.0,0.0,0.0,0.0
87,60,f,18351.659796738408,0.0,1.0,0.0,0.0,0.0
88,61,f,860105.1404267173,0.0,0.0,0.0,0.0,0.0
89,61,f,17681.22792978212,0.0,1.0,0.0,0.0,0.0
90,62,f,827012.8555056761,0.0,0.0,0.0,0.0,0.0
91,62,f,17000.94803735416,0.0,1.0,0.0,0.0,0.0
92,63,f,793165.1027817167,0.0,0.0,0.0,0.0,0.0
93,63,f,16305.137952407664,0.0,1.0,0.0,0.0,0.0
94,64,f,758996.6838680295,0.0,0.0,0.0,0.0,0.0
95,64,f,15602.735915241075,0.0,1.0,0.0,0.0,0.0
96,65,f,725034.0192891555,0.0,0.0,0.0,0.0,0.0
97,65,f,14904.563581072853,0.0,1.0,0.0,0.0,0.0
98,66,f,691755.3908196042,0.0,0.0,0.0,0.0,0.0
99,66,f,14220.453014231278,0.0,1.0,0.0,0.0,0.0
100,67,f,658799.757834137,0.0,0.0,0.0,0.0,0.0
101,67,f,13542.98228303997,0.0,1.0,0.0,0.0,0.0
102,68,f,627142.3182366237,0.0,0.0,0.0,0.0,0.0
103,68,f,12892.19858359685,0.0,1.0,0.0,0.0,0.0
104,69,f,597512.9175920621,0.0,0.0,0.0,0.0,0.0
105,69,f,12283.105390688579,0.0,1.0,0.0,0.0,0.0
106,70,f,567974.3594273994,0.0,0.0,0.0,0.0,0.0
107,70,f,11675.879651556948,0.0,1.0,0.0,0.0,0.0
108,71,f,535976.842853855,0.0,0.0,0.0,0.0,0.0
109,71,f,11018.10497130898,0.0,1.0,0.0,0.0,0.0
110,72,f,492245.8941757901,0.0,0.0,0.0,0.0,0.0
111,72,f,10119.12549215035,0.0,1.0,0.0,0.0,0.0
112,73,f,446454.29642378393,0.0,0.0,0.0,0.0,0.0
113,73,f,9177.785138434487,0.0,1.0,0.0,0.0,0.0
114,74,f,410279.5786378045,0.0,0.0,0.0,0.0,0.0
115,74,f,8434.13950674797,0.0,1.0,0.0,0.0,0.0
116,75,f,377250.1846643854,0.0,0.0,0.0,0.0,0.0
117,75,f,7755.152466934605,0.0,1.0,0.0,0.0,0.0
118,76,f,350196.9835779763,0.0,0.0,0.0,0.0,0.0
119,76,f,7199.01834779457,0.0,1.0,0.0,0.0,0.0
120,77,f,327635.4384421132,0.0,0.0,0.0,0.0,0.0
121,77,f,6735.219443166061,0.0,1.0,0.0,0.0,0.0
122,78,f,305783.55165349296,0.0,0.0,0.0,0.0,0.0
123,78,f,6286.009023596072,0.0,1.0,0.0,0.0,0.0
124,79,f,284544.2692805998,0.0,0.0,0.0,0.0,0.0
125,79,f,5849.391946160847,0.0,1.0,0.0,0.0,0.0
126,80,f,261648.08218887064,0.0,0.0,0.0,0.0,0.0
127,80,f,5378.713788731219,0.0,1.0,0.0,0.0,0.0
128,81,f,238317.0934839512,0.0,0.0,0.0,0.0,0.0
129,81,f,4899.097391003155,0.0,1.0,0.0,0.0,0.0
130,82,f,214594.00689570847,0.0,0.0,0.0,0.0,0.0
131,82,f,4411.420615863111,0.0,1.0,0.0,0.0,0.0
132,83,f,189255.16645559255,0.0,0.0,0.0,0.0,0.0
133,83,f,3890.5287013283405,0.0,1.0,0.0,0.0,0.0
134,84,f,163957.47688243922,0.0,0.0,0.0,0.0,0.0
135,84,f,3370.482727393243,0.0,1.0,0.0,0.0,0.0
136,85,f,139303.44898309797,0.0,0.0,0.0,0.0,0.0
137,85,f,2863.6685413285095,0.0,1.0,0.0,0.0,0.0
138,86,f,116418.90836315078,0.0,0.0,0.0,0.0,0.0
139,86,f,2393.2298010497343,0.0,1.0,0.0,0.0,0.0
140,87,f,95848.9099019897,0.0,0.0,0.0,0.0,0.0
141,87,f,1970.3712292167424,0.0,1.0,0.0,0.0,0.0
142,88,f,77144.67622028622,0.0,0.0,0.0,0.0,0.0
143,88,f,1585.867284950077,0.0,1.0,0.0,0.0,0.0
144,89,f,60581.064052092755,0.0,0.0,0.0,0.0,0.0
145,89,f,1245.3682130098207,0.0,1.0,0.0,0.0,0.0
