iso3,iso2,Country,Year,Age,PopMale,PopFemale,PopTotal
KEN,KE,Kenya,2020,55,131960,139275,271235
KEN,KE,Kenya,2020,56,123412,131405,254817
KEN,KE,Kenya,2020,57,115465,124073,239537
KEN,KE,Kenya,2020,58,107457,116554,224012
KEN,KE,Kenya,2020,59,99393,108882,208275
KEN,KE,Kenya,2020,60,91996,101865,193861
KEN,KE,Kenya,2020,61,85313,95522,180834
KEN,KE,Kenya,2020,62,78852,89290,168142
KEN,KE,Kenya,2020,63,72385,82921,155306
KEN,KE,Kenya,2020,64,65922,76433,142356
KEN,KE,Kenya,2020,65,59797,70222,130019
KEN,KE,Kenya,2020,66,54213,64519.99999999999,118733
KEN,KE,Kenya,2020,67,49045,59161,108206
KEN,KE,Kenya,2020,68,44377,54254,98632
KEN,KE,Kenya,2020,69,40206,49805,90011
KEN,KE,Kenya,2020,70,41355,48349,89705
KEN,KE,Kenya,2020,71,41805,46745,88550
KEN,KE,Kenya,2020,72,37042,42461,79503
KEN,KE,Kenya,2020,73,32628,38959,71587
KEN,KE,Kenya,2020,74,28698,36242,64940
KEN,KE,Kenya,2020,75,24950,33395,58344
KEN,KE,Kenya,2020,76,21519,30556,52075
KEN,KE,Kenya,2020,77,18741,28335,47076
KEN,KE,Kenya,2020,78,16500,26692,43192
KEN,KE,Kenya,2020,79,14508,25055,39563
KEN,KE,Kenya,2020,80,12716,23206,35922
KEN,KE,Kenya,2020,81,11191,21319,32509.999999999996
KEN,KE,Kenya,2020,82,9956,19511,29466
KEN,KE,Kenya,2020,83,8939,17764,26703
KEN,KE,Kenya,2020,84,7962,15947,23910
KEN,KE,Kenya,2020,85,6987,14077,21064
KEN,KE,Kenya,2020,86,6053,12265,18319
KEN,KE,Kenya,2020,87,5187,10551,15738
KEN,KE,Kenya,2020,88,4425,8997,13422
KEN,KE,Kenya,2020,89,3743,7630,11372
KEN,KE,Kenya,2020,90,3111,6386,9496
KEN,KE,Kenya,2020,91,2547,5268,7815
KEN,KE,Kenya,2020,92,2075,4309,6383
KEN,KE,Kenya,2020,93,1684,3502,5186
KEN,KE,Kenya,2020,94,1358,2848,4206
KEN,KE,Kenya,2020,95,1086,2321,3406
KEN,KE,Kenya,2020,96,865,1892,2757
KEN,KE,Kenya,2020,97,687,1543,2230
KEN,KE,Kenya,2020,98,542,1253,1795
KEN,KE,Kenya,2020,99,424,1012,1436
KEN,KE,Kenya,2020,100,1018.9999999999999,2911,3930
KEN,KE,Kenya,2021,0,712771,702157,1414928
KEN,KE,Kenya,2021,1,701693,691479,1393172
KEN,KE,Kenya,2021,2,691848,683164,1375012
KEN,KE,Kenya,2021,3,686613,679271,1365884
KEN,KE,Kenya,2021,4,685585,678525,1364110
KEN,KE,Kenya,2021,5,679917,674164,1354081
KEN,KE,Kenya,2021,6,669759,665614,1335372
KEN,KE,Kenya,2021,7,665644,662296,1327940
KEN,KE,Kenya,2021,8,668615,665817,1334432
KEN,KE,Kenya,2021,9,672524,670121,1342645
KEN,KE,Kenya,2021,10,677246,675115,1352361
KEN,KE,Kenya,2021,11,683163,680872,1364035
KEN,KE,Kenya,2021,12,683648,681468,1365116
KEN,KE,Kenya,2021,13,674689,673414,1348104
KEN,KE,Kenya,2021,14,657242,657153,1314395
KEN,KE,Kenya,2021,15,636091,637212,1273303
KEN,KE,Kenya,2021,16,614709,617545,1232255
KEN,KE,Kenya,2021,17,593731,598857,1192588
KEN,KE,Kenya,2021,18,575310,582855,1158165
KEN,KE,Kenya,2021,19,557355,567565,1124920
KEN,KE,Kenya,2021,20,535442,548664,1084105
KEN,KE,Kenya,2021,21,512477.99999999994,528711,1041189.0000000001
KEN,KE,Kenya,2021,22,493260,512133.00000000006,1005393
KEN,KE,Kenya,2021,23,474423,495339,969761
KEN,KE,Kenya,2021,24,456478,478623,935101
KEN,KE,Kenya,2021,25,442374,464723,907097
KEN,KE,Kenya,2021,26,429525,451096,880621
KEN,KE,Kenya,2021,27,418965,438933,857898
KEN,KE,Kenya,2021,28,411547,429148,840695
KEN,KE,Kenya,2021,29,406140,420716,826856
KEN,KE,Kenya,2021,30,401938,413133,815071
KEN,KE,Kenya,2021,31,397798,405538,803336
KEN,KE,Kenya,2021,32,392363,396570,788933
KEN,KE,Kenya,2021,33,385216,385997,771213
KEN,KE,Kenya,2021,34,375519,373301,748820
KEN,KE,Kenya,2021,35,362830,358214,721044
KEN,KE,Kenya,2021,36,349634,343191,692824
KEN,KE,Kenya,2021,37,335986,328200,664186
KEN,KE,Kenya,2021,38,322595,314080,636675
KEN,KE,Kenya,2021,39,309985,301389,611375
KEN,KE,Kenya,2021,40,295714,287524,583238
KEN,KE,Kenya,2021,41,281610,274147,555757
KEN,KE,Kenya,2021,42,268671,262154,530825
KEN,KE,Kenya,2021,43,255644,250264,505908
KEN,KE,Kenya,2021,44,243453,239332,482785
KEN,KE,Kenya,2021,45,231781,228982,460764
KEN,KE,Kenya,2021,46,220456,218963,439419
KEN,KE,Kenya,2021,47,210148,209846,419994
KEN,KE,Kenya,2021,48,200718,201492,402209
KEN,KE,Kenya,2021,49,191684,193544,385228
KEN,KE,Kenya,2021,50,182030,184944,366974
KEN,KE,Kenya,2021,51,172387,176282,348670
KEN,KE,Kenya,2021,52,163292,168163,331455
KEN,KE,Kenya,2021,53,154391,160185,314575
KEN,KE,Kenya,2021,54,145994,152673,298666
KEN,KE,Kenya,2021,55,137716,145237,282953
KEN,KE,Kenya,2021,56,128997.99999999999,137251,266250
KEN,KE,Kenya,2021,57,120514,129424,249939
KEN,KE,Kenya,2021,58,112606,122120,234726
KEN,KE,Kenya,2021,59,104639,114626,219266
KEN,KE,Kenya,2021,60,96641,107023,203665
KEN,KE,Kenya,2021,61,89270,100007,189278
KEN,KE,Kenya,2021,62,82619,93654,176274
KEN,KE,Kenya,2021,63,76190,87415,163605
KEN,KE,Kenya,2021,64,69775,81049,150824
KEN,KE,Kenya,2021,65,63380,74567,137948
KEN,KE,Kenya,2021,66,57375,68398,125773
KEN,KE,Kenya,2021,67,51940,62760,114700
KEN,KE,Kenya,2021,68,46904,57453,104357
KEN,KE,Kenya,2021,69,42354,52589,94942
KEN,KE,Kenya,2021,70,38273,48164,86438
KEN,KE,Kenya,2021,71,39248,46633,85881
KEN,KE,Kenya,2021,72,39508,44945,84453
KEN,KE,Kenya,2021,73,34890,40710,75600
KEN,KE,Kenya,2021,74,30635,37248,67883
KEN,KE,Kenya,2021,75,26853,34545,61398
KEN,KE,Kenya,2021,76,23264,31739,55003
KEN,KE,Kenya,2021,77,19995,28966,48962
KEN,KE,Kenya,2021,78,17340,26773,44112
KEN,KE,Kenya,2021,79,15191,25133,40324
KEN,KE,Kenya,2021,80,13284,23496,36781
KEN,KE,Kenya,2021,81,11566,21657,33224
KEN,KE,Kenya,2021,82,10086,19755,29841
KEN,KE,Kenya,2021,83,8872,17908,26780
KEN,KE,Kenya,2021,84,7862,16142,24004
KEN,KE,Kenya,2021,85,6904,14336,21241
KEN,KE,Kenya,2021,86,5974,12525,18500
KEN,KE,Kenya,2021,87,5106,10809,15914
KEN,KE,Kenya,2021,88,4323,9212,13535
KEN,KE,Kenya,2021,89,3645,7785,11430
KEN,KE,Kenya,2021,90,3043,6529,9572
KEN,KE,Kenya,2021,91,2498,5411,7910
KEN,KE,Kenya,2021,92,2021,4426,6447
KEN,KE,Kenya,2021,93,1624,3576,5200
KEN,KE,Kenya,2021,94,1301,2877,4178
KEN,KE,Kenya,2021,95,1034,2315,3349
KEN,KE,Kenya,2021,96,818,1866,2684
KEN,KE,Kenya,2021,97,643,1508,2151
KEN,KE,Kenya,2021,98,503,1219,1722
KEN,KE,Kenya,2021,99,391,977,1367
KEN,KE,Kenya,2021,100,945,2811,3756
ZAF,ZA,South Africa,2020,0,605764,584125,1189889
ZAF,ZA,South Africa,2020,1,606615,585331,1191946
ZAF,ZA,South Africa,2020,2,589236,568729,1157965
ZAF,ZA,South Africa,2020,3,570666,550711,1121377
ZAF,ZA,South Africa,2020,4,571590,551485,1123074
ZAF,ZA,South Africa,2020,5,585582,564900,1150483
ZAF,ZA,South Africa,2020,6,587395,566533,1153928
ZAF,ZA,South Africa,2020,7,583122,562346,1145468
ZAF,ZA,South Africa,2020,8,577610,557047,1134656
ZAF,ZA,South Africa,2020,9,568221,548009,1116230
ZAF,ZA,South Africa,2020,10,562900,543555,1106455
ZAF,ZA,South Africa,2020,11,574331,555072,1129403
ZAF,ZA,South Africa,2020,12,563442,544367,1107809
ZAF,ZA,South Africa,2020,13,534646,516591,1051237
ZAF,ZA,South Africa,2020,14,518655,500904,1019559
ZAF,ZA,South Africa,2020,15,498033,480654,978687
ZAF,ZA,South Africa,2020,16,475127,458789,933916
ZAF,ZA,South Africa,2020,17,455409,440046,895455
ZAF,ZA,South Africa,2020,18,449931,434889,884820
ZAF,ZA,South Africa,2020,19,452668,437707,890374
ZAF,ZA,South Africa,2020,20,460811,446647,907458
ZAF,ZA,South Africa,2020,21,469704,457090,926794
ZAF,ZA,South Africa,2020,22,476199,464820,941018
ZAF,ZA,South Africa,2020,23,496438,486248,982685
ZAF,ZA,South Africa,2020,24,521225,511782,1033006.0000000001
ZAF,ZA,South Africa,2020,25,534337,524645,1058983
ZAF,ZA,South Africa,2020,26,542429,532611,1075041
ZAF,ZA,South Africa,2020,27,551284,541494,1092778
ZAF,ZA,South Africa,2020,28,563058,552472,1115531
ZAF,ZA,South Africa,2020,29,570051,558726,1128777
ZAF,ZA,South Africa,2020,30,577376,566128,1143505
ZAF,ZA,South Africa,2020,31,587007,575887,1162894
ZAF,ZA,South Africa,2020,32,586896,575888,1162784
ZAF,ZA,South Africa,2020,33,574268,563497,1137765
ZAF,ZA,South Africa,2020,34,545235,537881,1083117
ZAF,ZA,South Africa,2020,35,516256,511106,1027362.0000000001
ZAF,ZA,South Africa,2020,36,495360,488492,983851
ZAF,ZA,South Africa,2020,37,477399,468827,946226
ZAF,ZA,South Africa,2020,38,457317,447258,904574
ZAF,ZA,South Africa,2020,39,434053,421964,856018
ZAF,ZA,South Africa,2020,40,404404,391534,795938
ZAF,ZA,South Africa,2020,41,364195,353295,717490
ZAF,ZA,South Africa,2020,42,323904,315947,639851
ZAF,ZA,South Africa,2020,43,291147,287288,578436
ZAF,ZA,South Africa,2020,44,270812,271469,542280
ZAF,ZA,South Africa,2020,45,263942,269567,533509
ZAF,ZA,South Africa,2020,46,267825,279947,547772
ZAF,ZA,South Africa,2020,47,277962,298235,576197
ZAF,ZA,South Africa,2020,48,288827,318539,607366
ZAF,ZA,South Africa,2020,49,295608,335517,631125
ZAF,ZA,South Africa,2020,50,297186,346501,643687
ZAF,ZA,South Africa,2020,51,293833,350418,644250
ZAF,ZA,South Africa,2020,52,284759,346519,631279
ZAF,ZA,South Africa,2020,53,270685,335510,606196
ZAF,ZA,South Africa,2020,54,253063,319227,572290
ZAF,ZA,South Africa,2020,55,233889,300709,534598
ZAF,ZA,South Africa,2020,56,214045,281747,495791
ZAF,ZA,South Africa,2020,57,194140,263472,457612
ZAF,ZA,South Africa,2020,58,174585,246261,420846
ZAF,ZA,South Africa,2020,59,155253,229409,384662
ZAF,ZA,South Africa,2020,60,137718,213802,351519
ZAF,ZA,South Africa,2020,61,124761,201945,326707
ZAF,ZA,South Africa,2020,62,115379,192475,307853
ZAF,ZA,South Africa,2020,63,108181,183868,292050
ZAF,ZA,South Africa,2020,64,103766,177528,281293
ZAF,ZA,South Africa,2020,65,101510,173703,275214
ZAF,ZA,South Africa,2020,66,99987,171304,271291
ZAF,ZA,South Africa,2020,67,97094,167661,264756
ZAF,ZA,South Africa,2020,68,92232,161545,253777
ZAF,ZA,South Africa,2020,69,86281,153796,240077
ZAF,ZA,South Africa,2020,70,79924,145147,225071
ZAF,ZA,South Africa,2020,71,75546,138865,214411
ZAF,ZA,South Africa,2020,72,70040,130847.00000000001,200887
ZAF,ZA,South Africa,2020,73,62484,119294,181779
ZAF,ZA,South Africa,2020,74,56204,108509,164713
ZAF,ZA,South Africa,2020,75,50318,98350,148668
ZAF,ZA,South Africa,2020,76,44818,89138,133955
ZAF,ZA,South Africa,2020,77,40127,81002,121129
ZAF,ZA,South Africa,2020,78,35873,73526,109399
ZAF,ZA,South Africa,2020,79,31883,66413,98296
ZAF,ZA,South Africa,2020,80,28088,59566,87654
ZAF,ZA,South Africa,2020,81,24448,52999,77447
ZAF,ZA,South Africa,2020,82,20944,46678,67622
ZAF,ZA,South Africa,2020,83,17601,40822,58422
ZAF,ZA,South Africa,2020,84,14651,35748,50399
ZAF,ZA,South Africa,2020,85,12193,31588,43781
ZAF,ZA,South Africa,2020,86,10259,28335,38594
ZAF,ZA,South Africa,2020,87,8765,25700,34465
ZAF,ZA,South Africa,2020,88,7547,23177,30723
ZAF,ZA,South Africa,2020,89,6522,20526,27049
ZAF,ZA,South Africa,2020,90,5605,17808,23413
ZAF,ZA,South Africa,2020,91,4755,15089,19845
ZAF,ZA,South Africa,2020,92,3968,12443,16411
ZAF,ZA,South Africa,2020,93,3259,9976,13235
ZAF,ZA,South Africa,2020,94,2634,7646,10280
ZAF,ZA,South Africa,2020,95,2088,5598,7686
ZAF,ZA,South Africa,2020,96,1621,3982,5604
ZAF,ZA,South Africa,2020,97,1224,2773,3997
ZAF,ZA,South Africa,2020,98,896,1903,2799
ZAF,ZA,South Africa,2020,99,636,1299,1935
ZAF,ZA,South Africa,2020,100,1246,2401,3647
ZAF,ZA,South Africa,2021,0,590976,570104,1161080
ZAF,ZA,South Africa,2021,1,603280,581935,1185216
ZAF,ZA,South Africa,2021,2,605173,584208,1189382
ZAF,ZA,South Africa,2021,3,588375,568102,1156477
ZAF,ZA,South Africa,2021,4,570158,550345,1120503
ZAF,ZA,South Africa,2021,5,571269,551231,1122499
ZAF,ZA,South Africa,2021,6,585351,564688,1150039
ZAF,ZA,South Africa,2021,7,587246,566367,1153613
ZAF,ZA,South Africa,2021,8,583044,562226,1145271
ZAF,ZA,South Africa,2021,9,577610,556976,1134586
ZAF,ZA,South Africa,2021,10,568253,547952,1116205
ZAF,ZA,South Africa,2021,11,562911,543479,1106389
ZAF,ZA,South Africa,2021,12,574314,554993,1129307
ZAF,ZA,South Africa,2021,13,563431,544311,1107741
ZAF,ZA,South Africa,2021,14,534646,516563.99999999994,1051210
ZAF,ZA,South Africa,2021,15,518655,500894,1019549
ZAF,ZA,South Africa,2021,16,497991,480618,978609
ZAF,ZA,South Africa,2021,17,475022,458710,933731
ZAF,ZA,South Africa,2021,18,455216,439912,895129
ZAF,ZA,South Africa,2021,19,449620,434688,884308
ZAF,ZA,South Africa,2021,20,452216,437426,889643
ZAF,ZA,South Africa,2021,21,460180,446252,906432
ZAF,ZA,South Africa,2021,22,468830,456543,925374
ZAF,ZA,South Africa,2021,23,475075,464115,939191
ZAF,ZA,South Africa,2021,24,495005,485344,980349
ZAF,ZA,South Africa,2021,25,519457,510671,1030127.9999999999
ZAF,ZA,South Africa,2021,26,532285,523355,1055640
ZAF,ZA,South Africa,2021,27,540109,531137,1071245
ZAF,ZA,South Africa,2021,28,548715,539838,1088553
ZAF,ZA,South Africa,2021,29,560256,550639,1110896
ZAF,ZA,South Africa,2021,30,567059,556736,1123795
ZAF,ZA,South Africa,2021,31,574216,563987,1138204
ZAF,ZA,South Africa,2021,32,583654,573588,1157243
ZAF,ZA,South Africa,2021,33,583389,573468,1156857
ZAF,ZA,South Africa,2021,34,570661,561005,1131666
ZAF,ZA,South Africa,2021,35,541627,535376,1077003
ZAF,ZA,South Africa,2021,36,512662.00000000006,508594,1021256
ZAF,ZA,South Africa,2021,37,491741,485954,977696
ZAF,ZA,South Africa,2021,38,473761,466248,940009
ZAF,ZA,South Africa,2021,39,453695,444642,898337
ZAF,ZA,South Africa,2021,40,430487,419336,849823
ZAF,ZA,South Africa,2021,41,400937,388928,789865
ZAF,ZA,South Africa,2021,42,360908,350777,711685
ZAF,ZA,South Africa,2021,43,320796,313541,634337
ZAF,ZA,South Africa,2021,44,288150,284955,573106
ZAF,ZA,South Africa,2021,45,267805,269135,536941
ZAF,ZA,South Africa,2021,46,260774.99999999997,267126,527901
ZAF,ZA,South Africa,2021,47,264360,277289,541649
ZAF,ZA,South Africa,2021,48,274096,295269,569365
ZAF,ZA,South Africa,2021,49,284533,315221,599754
ZAF,ZA,South Africa,2021,50,290925,331846,622772
ZAF,ZA,South Africa,2021,51,292178,342504,634682
ZAF,ZA,South Africa,2021,52,288541,346125,634667
ZAF,ZA,South Africa,2021,53,279245,341978,621223
ZAF,ZA,South Africa,2021,54,265011,330769,595780
ZAF,ZA,South Africa,2021,55,247292,314339,561631
ZAF,ZA,South Africa,2021,56,228082,295721,523802
ZAF,ZA,South Africa,2021,57,208273,276704,484976
ZAF,ZA,South Africa,2021,58,188490,258418,446909
ZAF,ZA,South Africa,2021,59,169138,241232,410370
ZAF,ZA,South Africa,2021,60,150077,224431,374509
ZAF,ZA,South Africa,2021,61,132838,208886,341724
ZAF,ZA,South Africa,2021,62,120061,197008,317068
ZAF,ZA,South Africa,2021,63,110734,187436,298171
ZAF,ZA,South Africa,2021,64,103514,178689,282204
ZAF,ZA,South Africa,2021,65,98963,172129,271092
ZAF,ZA,South Africa,2021,66,96475,167998,264473
ZAF,ZA,South Africa,2021,67,94692,165242,259933
ZAF,ZA,South Africa,2021,68,91629,161295,252924
ZAF,ZA,South Africa,2021,69,86743,155001,241744
ZAF,ZA,South Africa,2021,70,80862,147172,228035
ZAF,ZA,South Africa,2021,71,74632,138533,213165
ZAF,ZA,South Africa,2021,72,70246,132130,202376
ZAF,ZA,South Africa,2021,73,64760.00000000001,124021,188781
ZAF,ZA,South Africa,2021,74,57422,112593,170015
ZAF,ZA,South Africa,2021,75,51304,101936,153240
ZAF,ZA,South Africa,2021,76,45609,91940,137549
ZAF,ZA,South Africa,2021,77,40361,82927,123288
ZAF,ZA,South Africa,2021,78,35932,75016,110948
ZAF,ZA,South Africa,2021,79,31968,67803,99771
ZAF,ZA,South Africa,2021,80,28288,60990,89278
ZAF,ZA,South Africa,2021,81,24803,54461,79264
ZAF,ZA,South Africa,2021,82,21462,48208,69669
ZAF,ZA,South Africa,2021,83,18243,42192,60435
ZAF,ZA,South Africa,2021,84,15180,36620,51799
ZAF,ZA,South Africa,2021,85,12489,31790,44279
ZAF,ZA,South Africa,2021,86,10261,27823,38084
ZAF,ZA,South Africa,2021,87,8523,24709,33232
ZAF,ZA,South Africa,2021,88,7189,22186,29375
ZAF,ZA,South Africa,2021,89,6113,19803,25916
ZAF,ZA,South Africa,2021,90,5218,17355,22573
ZAF,ZA,South Africa,2021,91,4425,14887,19312
ZAF,ZA,South Africa,2021,92,3697,12453,16151
ZAF,ZA,South Africa,2021,93,3031,10118,13149
ZAF,ZA,South Africa,2021,94,2440,7979,10418
ZAF,ZA,South Africa,2021,95,1936,6014,7950
ZAF,ZA,South Africa,2021,96,1509,4337,5846
ZAF,ZA,South Africa,2021,97,1149,3034,4184
ZAF,ZA,South Africa,2021,98,851,2076,2927
ZAF,ZA,South Africa,2021,99,611,1399,2009.9999999999998
ZAF,ZA,South Africa,2021,100,1210,2587,3797
IND,IN,India,2020,0,11841273,10964619,22805892
IND,IN,India,2020,1,12037521,11108967,23146488
IND,IN,India,2020,2,12169895,11203982,23373876
IND,IN,India,2020,3,12302071,11296522,23598592
IND,IN,India,2020,4,12420975,11378086,23799060
IND,IN,India,2020,5,12417507,11354165,23771673
IND,IN,India,2020,6,12606707,11515374,24122082
IND,IN,India,2020,7,12851002,11721623,24572625
IND,IN,India,2020,8,12969284,11800594,24769878
IND,IN,India,2020,9,13076692,11871119,24947810
IND,IN,India,2020,10,13152836,11932772,25085609
IND,IN,India,2020,11,13165353,11949206,25114558
IND,IN,India,2020,12,13150344,11938130,25088474
IND,IN,India,2020,13,13173220,11959087,25132307
IND,IN,India,2020,14,13264664,12035674,25300338
IND,IN,India,2020,15,13415978,12164854,25580832
IND,IN,India,2020,16,13520769,12260465,25781233
IND,IN,India,2020,17,13577671,12320663,25898334
IND,IN,India,2020,18,13622942,12353635,25976577
IND,IN,India,2020,19,13552031,12262978,25815010
IND,IN,India,2020,20,13367425,12085743,25453168
IND,IN,India,2020,21,13234483,11963669,25198152
IND,IN,India,2020,22,13150305,11884507,25034813
IND,IN,India,2020,23,13045662,11799559,24845221
IND,IN,India,2020,24,12947372,11723854,24671227
IND,IN,India,2020,25,12821649,11640632,24462282
IND,IN,India,2020,26,12642230,11532869,24175099
IND,IN,India,2020,27,12486756,11443955,23930712
IND,IN,India,2020,28,12346389,11354288,23700677
IND,IN,India,2020,29,12151031,11213189,23364220
IND,IN,India,2020,30,11994158,11101746,23095904
IND,IN,India,2020,31,11889214,11006028,22895242
IND,IN,India,2020,32,11742849,10858935,22601785
IND,IN,India,2020,33,11612934,10745212,22358146
IND,IN,India,2020,34,11408404,10567689,21976092
IND,IN,India,2020,35,11152461,10334465,21486926
IND,IN,India,2020,36,10911876,10117078,21028954
IND,IN,India,2020,37,10640443,9872336,20512780
IND,IN,India,2020,38,10405107,9655053,20060160
IND,IN,India,2020,39,10149564,9424381,19573945
IND,IN,India,2020,40,9834286,9153676,18987963
IND,IN,India,2020,41,9516725,8882183,18398909
IND,IN,India,2020,42,9269127,8669854,17938982
IND,IN,India,2020,43,9105655,8536668,17642323
IND,IN,India,2020,44,8909890,8379459.000000001,17289349
IND,IN,India,2020,45,8701081,8212240,16913321
IND,IN,India,2020,46,8501753,8051757,16553509.999999998
IND,IN,India,2020,47,8254058.000000001,7840444,16094502
IND,IN,India,2020,48,8011000,7629262,15640263
IND,IN,India,2020,49,7767412,7416645,15184057
IND,IN,India,2020,50,7531292,7207684,14738976
IND,IN,India,2020,51,7328912,7028148,14357059
IND,IN,India,2020,52,7121282,6840493,13961774
IND,IN,India,2020,53,6891234,6628430,13519664
IND,IN,India,2020,54,6670387,6425350,13095737
IND,IN,India,2020,55,6476986,6250926,12727912
IND,IN,India,2020,56,6281401,6078132,12359532
IND,IN,India,2020,57,6063037,5888515,11951551
IND,IN,India,2020,58,5833705,5692063,11525768
IND,IN,India,2020,59,5598276,5492078,11090353
IND,IN,India,2020,60,5357374,5288212,10645587
IND,IN,India,2020,61,5130207,5096846,10227053
IND,IN,India,2020,62,4919742,4916455,9836197
IND,IN,India,2020,63,4703490,4722542,9426032
IND,IN,India,2020,64,4483663,4518918,9002582
IND,IN,India,2020,65,4265284,4310506,8575790
IND,IN,India,2020,66,4036174,4086897,8123071
IND,IN,India,2020,67,3794385,3850485,7644869
IND,IN,India,2020,68,3547540,3610939,7158479
IND,IN,India,2020,69,3299409,3373834,6673243
IND,IN,India,2020,70,3052227,3142407,6194633
IND,IN,India,2020,71,2668483,2806999,5475481
IND,IN,India,2020,72,2296795,2498686,4795481
IND,IN,India,2020,73,2083409,2312035,4395444
IND,IN,India,2020,74,1894617,2126626,4021242
IND,IN,India,2020,75,1714089,1951013,3665102
IND,IN,India,2020,76,1547124,1789702,3336827
IND,IN,India,2020,77,1393777,1641819,3035595
IND,IN,India,2020,78,1253140,1504976,2758115
IND,IN,India,2020,79,1123584,1376362,2499946
IND,IN,India,2020,80,1003943,1254822,2258765
IND,IN,India,2020,81,892895,1140565,2033460
IND,IN,India,2020,82,785163,1022675,1807839
IND,IN,India,2020,83,678165,896019,1574185
IND,IN,India,2020,84,576811,770909,1347720
IND,IN,India,2020,85,487283,658011,1145293
IND,IN,India,2020,86,408781,557240,966020
IND,IN,India,2020,87,339200,465096,804297
IND,IN,India,2020,88,278577,382844,661421
IND,IN,India,2020,89,225757,310728,536486
IND,IN,India,2020,90,179904,248351,428255
IND,IN,India,2020,91,140828,195124,335952
IND,IN,India,2020,92,108037,150577,258615
IND,IN,India,2020,93,80996,114061,195058
IND,IN,India,2020,94,59356,84569,143925
IND,IN,India,2020,95,42531,61203,103734
IND,IN,India,2020,96,29771,43224,72996
IND,IN,India,2020,97,20408,29858,50267
IND,IN,India,2020,98,13743,20209,33953
IND,IN,India,2020,99,9089,13396,22485
IND,IN,India,2020,100,15150,22224,37375
IND,IN,India,2021,0,11722644,10877951,22600595
IND,IN,India,2021,1,11785525,10901323,22686847
IND,IN,India,2021,2,12010312,11083779,23094091
IND,IN,India,2021,3,12157120,11191548,23348668
IND,IN,India,2021,4,12291570,11285654,23577224
IND,IN,India,2021,5,12411108,11367452,23778559
IND,IN,India,2021,6,12408683,11344525,23753209
IND,IN,India,2021,7,12598985,11507056,24106040
IND,IN,India,2021,8,12844344,11714752,24559095
IND,IN,India,2021,9,12963497,11795013,24758510
IND,IN,India,2021,10,13071271,11866207,24937477
IND,IN,India,2021,11,13147219,11927867,25075086
IND,IN,India,2021,12,13159088,11943855,25102944
IND,IN,India,2021,13,13143011,11931901,25074912
