iso3,iso2,Country,Year,Age,PopMale,PopFemale,PopTotal
KEN,KE,Kenya,2020,0,707808,697235,1405043
KEN,KE,Kenya,2020,1,695585,686771,1382357
KEN,KE,Kenya,2020,2,689356,681644,1371000
KEN,KE,Kenya,2020,3,687634,680136,1367771
KEN,KE,Kenya,2020,4,681460,675277,1356736
KEN,KE,Kenya,2020,5,670933,666410,1337343
KEN,KE,Kenya,2020,6,666563,662890,1329454
KEN,KE,Kenya,2020,7,669344,666288,1335632
KEN,KE,Kenya,2020,8,673197,670585,1343782
KEN,KE,Kenya,2020,9,678048,675702,1353751
KEN,KE,Kenya,2020,10,684139,681587,1365726
KEN,KE,Kenya,2020,11,684861,682323,1367184
KEN,KE,Kenya,2020,12,676189,674441,1350630
KEN,KE,Kenya,2020,13,659026,658318,1317344
KEN,KE,Kenya,2020,14,638179,638494,1276674
KEN,KE,Kenya,2020,15,617062,618885,1235947
KEN,KE,Kenya,2020,16,596302,600187,1196489
KEN,KE,Kenya,2020,17,578033,584138,1162170
KEN,KE,Kenya,2020,18,560139,568816,1128954
KEN,KE,Kenya,2020,19,538218,549918,1088136
KEN,KE,Kenya,2020,20,515203.99999999994,529973,1045176.9999999999
KEN,KE,Kenya,2020,21,495928,513457,1009385
KEN,KE,Kenya,2020,22,477019,496782,973801
KEN,KE,Kenya,2020,23,458967,480205,939173
KEN,KE,Kenya,2020,24,444793,466510,911302
KEN,KE,Kenya,2020,25,431910,453139,885049
KEN,KE,Kenya,2020,26,421358,441256,862614
KEN,KE,Kenya,2020,27,413998,431733,845731
KEN,KE,Kenya,2020,28,408675,423533,832208
KEN,KE,Kenya,2020,29,404580,416147,820727
KEN,KE,Kenya,2020,30,400551,408690,809240
KEN,KE,Kenya,2020,31,395226,399825,795052
KEN,KE,Kenya,2020,32,388197,389316,777513
KEN,KE,Kenya,2020,33,378606,376628,755235
KEN,KE,Kenya,2020,34,365989,361505,727494
KEN,KE,Kenya,2020,35,352827,346400,699226
KEN,KE,Kenya,2020,36,339199,331294,670492
KEN,KE,Kenya,2020,37,325823,317060,642883
KEN,KE,Kenya,2020,38,313228,304267,617495
KEN,KE,Kenya,2020,39,298955,290293,589249
KEN,KE,Kenya,2020,40,284820,276813,561633
KEN,KE,Kenya,2020,41,271851,264734,536585
KEN,KE,Kenya,2020,42,258814.00000000003,252778,511591
KEN,KE,Kenya,2020,43,246626,241804,488430
KEN,KE,Kenya,2020,44,234970,231427,466397
KEN,KE,Kenya,2020,45,223654,221381,445036
KEN,KE,Kenya,2020,46,213349,212240,425589
KEN,KE,Kenya,2020,47,203929,203866,407795
KEN,KE,Kenya,2020,48,194903,195899,390801
KEN,KE,Kenya,2020,49,185256,187267,372522
KEN,KE,Kenya,2020,50,175587,178553,354140
KEN,KE,Kenya,2020,51,166446,170372,336817
KEN,KE,Kenya,2020,52,157499,162335,319834
KEN,KE,Kenya,2020,53,149054,154774,303827
KEN,KE,Kenya,2020,54,140738,147299,288037
